ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var
224,none,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Resnet18,0.9034435261707989,0.004339389532237832,1.883030151249527e-05,0.8655875250229833,0.012954548770811,0.00016782033385532078,0.8147974666842591,0.005807885615840158,3.373153532668301e-05,0.8364438608355403,0.005692843119801823,3.240846278667496e-05,0.9277045424558288,0.007084100027381745,5.0184473197950034e-05,0.06710380228868125,0.003261625657430186,1.0638201929206892e-05
224,none,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Resnet34,0.9122589531680442,0.004835672088579026,2.3383724548262238e-05,0.8802991134893615,0.006406875954365881,4.104805949463171e-05,0.8300501385407045,0.014066987866815692,0.0001978801476451399,0.8516782774200375,0.010094837692646751,0.00010190574804088159,0.9338609075315765,0.006913657381767361,4.7798658392466325e-05,0.04972097466182717,0.004114298248806729,1.692745008013412e-05
224,none,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Resnet50,0.9139118457300276,0.005944447831140523,3.533646001715127e-05,0.8759532590741136,0.009794900886722616,9.59400833807195e-05,0.842954215595725,0.01721125125546054,0.00029622716977859194,0.8576949321057746,0.011754490779092948,0.00013816805347578113,0.9400844438580286,0.005606904987679256,3.1437383540862526e-05,0.05235408269871714,0.003647357851541933,1.3303219297204583e-05
224,none,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Resnet101,0.9118457300275482,0.0022316600201129177,4.980306445370389e-06,0.8788851338950557,0.010504146481986736,0.00011033709331503433,0.8313761709988124,0.014780270356488559,0.00021845639181089445,0.8515978482062376,0.006273106642281981,3.935186694544231e-05,0.9435965406805888,0.006789851652994619,4.610208546967376e-05,0.04588116218022648,0.008218039557433464,6.753617416754121e-05
224,none,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Resnet152,0.9082644628099175,0.003525202174123861,1.2427050368447597e-05,0.8742362964973289,0.010445059759907093,0.00010909927338803041,0.823076923076923,0.016128706669609763,0.0002601351788343145,0.8446178955475869,0.008903277811450557,7.926835578786781e-05,0.9362244959157481,0.005245320409793763,2.7513386201399005e-05,0.040077542050256564,0.00327554110696504,1.0729169543417759e-05
224,none,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Densenet121,0.9073002754820936,0.0045056273371339205,2.03006777011285e-05,0.8765735167574789,0.009968518177157862,9.937135464832669e-05,0.8158794036152527,0.013330916833572126,0.00017771334362361667,0.8410320040452168,0.00913861903510174,8.351435786872385e-05,0.9328593362041046,0.006998816650483098,4.898343450707945e-05,0.05557147852204457,0.009468786008096494,8.965790846712393e-05
224,none,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Densenet169,0.918732782369146,0.002177877176424508,4.743148995590788e-06,0.8876683763814859,0.006145087123948533,3.776209576091806e-05,0.8456920438052513,0.0023625814196424014,5.581790964439505e-06,0.8643905791152875,0.0029670234246767934,8.803228002580808e-06,0.943564154541856,0.0037342516435983804,1.3944635337717206e-05,0.04371853963642792,0.004746241692085738,2.252681019969289e-05
224,none,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Vision,0.8971074380165289,0.007150604601882867,5.113114617246844e-05,0.8523121986893913,0.014895517781472698,0.00022187644997816934,0.8074218234595593,0.015519855748285875,0.0002408659224476021,0.8266193690181197,0.012681103347522347,0.00016081038211054245,0.9269602610082884,0.0036885798210165226,1.3605621096010281e-05,0.032644347495366446,0.004628003960463502,2.1418420658065853e-05
224,none,reduce_on_plateau,None,Adam,0.0001,TotalCrossEntropyLoss,Resnet18,0.9101928374655648,0.0031785070962022893,1.010290736060831e-05,0.879667326762428,0.007577892243180787,5.742445084925955e-05,0.8229581739015701,0.008043666686080028,6.470057375675366e-05,0.8469556138733539,0.005894834111003511,3.474906919625055e-05,0.9330614496995284,0.00665645559529054,4.430840109207474e-05,0.04114540858717427,0.005356846667073194,2.869580621453318e-05
224,none,reduce_on_plateau,None,Adam,0.0001,TotalCrossEntropyLoss,Resnet34,0.9093663911845729,0.007083961912189386,5.018251637334991e-05,0.8727873753727137,0.016323328353651065,0.00026645104854110876,0.8293046576065445,0.014721174538430973,0.0002167129797909484,0.8481523953240064,0.012150430707589588,0.000147632966379936,0.9252336000191917,0.0034556766365505353,1.1941701016401222e-05,0.02794168810428848,0.0049740260888543174,2.474093553260338e-05
224,none,reduce_on_plateau,None,Adam,0.0001,TotalCrossEntropyLoss,Resnet50,0.9150137741046832,0.0031785070962022854,1.0102907360608286e-05,0.8795736540520857,0.010481656634805723,0.00010986512580996683,0.8423208866605092,0.005119904082350972,2.621341781247415e-05,0.8589638110753736,0.003964736806032523,1.571913794110897e-05,0.9407267689428925,0.0026534519176681895,7.040807079376993e-06,0.028849467198111694,0.003891989847264194,1.5147584971207562e-05
224,none,reduce_on_plateau,None,Adam,0.0001,TotalCrossEntropyLoss,Resnet101,0.9118457300275482,0.008350107199023519,6.972429023518441e-05,0.8748354905511351,0.01694803718866371,0.0002872359645483281,0.8374455732946299,0.02201181793976203,0.0004845201290132297,0.8534857593737286,0.015363180149931746,0.00023602730431925681,0.9427113195552304,0.00792204573726854,6.275880866337465e-05,0.027645602412454236,0.0033553833984722847,1.1258597750743419e-05
