ImageInput,Model,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var,Acc_class_0_mean,Acc_class_1_mean
384,Resnet101,0.9325068870523415,0.003193394798724415,1.0197770340520149e-05,0.9052736180889778,0.01107848111286506,0.00012273274376810786,0.876698772925188,0.014952959127113639,0.00022359098665713107,0.8894761139083525,0.006698927740057255,4.487563286650861e-05,0.9648154589835549,0.00213237044902311,4.5470037318670195e-06,0.0461484025711807,0.0081649335763978,6.666614030698817e-05,0.9687821612349914,0.7846153846153846
384,Resnet152,0.9367768595041323,0.003784747014885451,1.4324309966684332e-05,0.9059650834261983,0.007149997536437812,5.1122464771066776e-05,0.8912323525531072,0.008929358082924475,7.973343577308864e-05,0.8982357316942847,0.006341355029822784,4.021278361425872e-05,0.9659273830800418,0.004114672170104047,1.6930527067428746e-05,0.03911758484653679,0.0038624612283715293,1.4918606740673303e-05,0.9663807890222985,0.816083916083916
384,Densenet121,0.9352617079889807,0.005267582142141311,2.7747421624206042e-05,0.9052235207665473,0.012463461522270219,0.00015533787311711026,0.8865945375379338,0.0036204165714328715,1.3107416150705748e-05,0.8953950460082714,0.007243143830954881,5.246313255589975e-05,0.966031138672648,0.0038784833441099995,1.5042633050538686e-05,0.04851222058386408,0.006810900932357119,4.638837151038308e-05,0.9668953687821613,0.8062937062937063
384,Densenet169,0.9363636363636363,0.0028645501849979896,8.205647762372016e-06,0.907757266584156,0.009949365379913998,9.898987146303122e-05,0.8875445309407575,0.007097692664047126,5.037724115326839e-05,0.8969494812295284,0.0037809255240234545,1.4295397818212035e-05,0.9649791889071478,0.004778097304870493,2.2830213854810664e-05,0.041066974688059074,0.007253302184272166,5.2610392576367376e-05,0.9680960548885078,0.806993006993007
384,Densenet201,0.9341597796143251,0.00560776941758188,3.1447077840766614e-05,0.9060532480538207,0.014352558315988353,0.00020599593021384643,0.8814223512336719,0.005999505378529641,3.599406478700609e-05,0.8928419162844701,0.007943468138408809,6.309868606591592e-05,0.9635404047067855,0.003450357064149753,1.1904963870128104e-05,0.03696394053584173,0.003923494200678975,1.539380674276155e-05,0.9684391080617495,0.7944055944055946
384,Densenet264d,0.8955922865013773,0.0057949542611467515,3.35814948887829e-05,0.8424910159877428,0.008046394498190203,6.474446442050555e-05,0.8167700224303998,0.014497931219601473,0.00021019000964829504,0.8285281091174423,0.011381452295022403,0.00012953745634387072,0.9289795967325984,0.008043160021731471,6.469242313517941e-05,0.10253289416157423,0.01940081568977207,0.0003763916494285062,0.9468267581475128,0.6867132867132867
384,efficientnet_b0,0.9241046831955924,0.003968281071869982,1.574725466536157e-05,0.8840589925912556,0.008362837114964217,6.993704461142301e-05,0.873050534371289,0.0049066762870162975,2.407547218556804e-05,0.8783492211432857,0.005747200958346412,3.3030318855617915e-05,0.9551386006789094,0.004773853334878235,2.2789675662928044e-05,0.04127282694778474,0.004321559196963309,1.8675873892858163e-05,0.9572898799313894,0.7888111888111888
384,efficientnet_b1,0.9331955922865014,0.004273303597104268,1.8261123633024276e-05,0.9023416993661492,0.007720717685825647,5.9609481584220945e-05,0.8821414434621981,0.006350660428019142,4.033088787200827e-05,0.8917327591132842,0.0067892778777437985,4.609429410122134e-05,0.9603083880099316,0.004910270570471572,2.4110757075239218e-05,0.02621261630005527,0.004939796544027413,2.4401589896385176e-05,0.9663807890222984,0.7979020979020979
384,efficientnet_b2,0.9239669421487603,0.004980629402689988,2.480666924694003e-05,0.8838740624724155,0.00785583956570133,6.171421528203845e-05,0.8732286581343185,0.016474944000632492,0.0002714237798239765,0.8780620397879707,0.009709858376748077,9.428134969650481e-05,0.9499904041070423,0.010225926158358753,0.0001045695657962058,0.03210630716608914,0.0037903324211834353,1.4366619863074283e-05,0.9569468267581476,0.7895104895104895
384,efficientnet_b3,0.9207988980716253,0.005984210467280553,3.581077491671013e-05,0.8793872213044842,0.013789225066937713,0.00019014272794666337,0.8670339094867398,0.005156728420898749,2.659184800690491e-05,0.8728900256499939,0.008245971983524912,6.799605395307778e-05,0.9428156748911466,0.012913454413894679,0.00016675730489973595,0.039818957330549,0.007709542255651901,5.943704179168221e-05,0.9557461406518011,0.7783216783216783
384,efficientnet_b4,0.903030303030303,0.005046851504286879,2.547071010632274e-05,0.860451432947628,0.009342546820076259,8.728318108531703e-05,0.820873466156485,0.01878213053156365,0.00035276842730469537,0.8379089199008757,0.011879146082687602,0.0001411141116538322,0.9363912245558901,0.006918848503413553,4.7870464613187964e-05,0.05916104989467177,0.003250215347379507,1.056389980434129e-05,0.9564322469982847,0.6853146853146852
384,efficientnet_b5,0.9358126721763085,0.005952421607804933,3.543132299706307e-05,0.9038238493051562,0.010590559767208576,0.00011215995618281697,0.8903681224435941,0.00830670048637893,6.900127297040797e-05,0.8968666715097514,0.009294606791610047,8.63897154106436e-05,0.9677194160899136,0.0043416095071385705,1.884957311247602e-05,0.019289039596631277,0.004105476161822561,1.6854934515293306e-05,0.9653516295025728,0.8153846153846154
384,efficientnet_b6,0.8735537190082644,0.005435974451975536,2.9549818242530722e-05,0.8077804620796648,0.005723907355820311,3.276311541801387e-05,0.7740203193033381,0.021169657060423997,0.00044815438005595956,0.7884693754404128,0.01516899600347726,0.00023009843975350908,0.893041778118965,0.010634894444373409,0.0001131009798429644,0.12119938457567954,0.014075846175537022,0.0001981294455573802,0.9382504288164666,0.6097902097902098
384,efficientnet_b7,0.8728650137741047,0.011591954582601106,0.0001343734110450868,0.8121644527667643,0.015591608897825873,0.00024309826802276294,0.759077714738092,0.03338506482821483,0.0011145625535841069,0.7800313905047334,0.028623592366207956,0.0008193100399468383,0.8953537885784885,0.022900315087805947,0.0005244244311207927,0.11464610253941827,0.027887533478367983,0.0007777145235070951,0.946826758147513,0.5713286713286714
384,regnety_008,0.9278236914600552,0.003624710018440984,1.313852271778644e-05,0.9005747240083707,0.011103505576035667,0.00012328783607705514,0.8642828869243964,0.0037040222804639654,1.3719781054173474e-05,0.8806900765957486,0.004714036152391273,2.2222136846051914e-05,0.956843670908851,0.003736555807078532,1.39618492994123e-05,0.04637792174186197,0.006610307655025339,4.369616729408659e-05,0.9691252144082334,0.7594405594405594
