ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R18,1,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894,31,0.9219554030874786,0.493006993006993
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R18,2,0.8285123966942148,0.7278419092574278,0.6913511017284603,0.706138572014939,0.7978745097098443,0.1321969819379885,29,0.9176672384219554,0.46503496503496505
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R18,3,0.8333333333333334,0.7369711042311662,0.6983111228394248,0.7139638246259544,0.8302186664107762,0.2602752011123638,22,0.9210977701543739,0.4755244755244755
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R18,4,0.8044077134986226,0.6877987548973614,0.6776619606808286,0.6823794735285419,0.7891707349254519,0.21868510417190765,27,0.8867924528301887,0.46853146853146854
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R18,5,0.849862258953168,0.7727329395814178,0.7099221533183797,0.7332645714516847,0.8520793100552964,0.3124223414985141,41,0.9408233276157805,0.479020979020979
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R34,1,0.831267217630854,0.732947232947233,0.6970246734397678,0.7117364447494852,0.8124062901078336,0.11558914017475946,30,0.91852487135506,0.4755244755244755
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R34,2,0.8526170798898072,0.7733918128654971,0.7287900778466816,0.7470589192973316,0.8356313497822931,0.17888534065269976,35,0.9331046312178388,0.5244755244755245
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R34,3,0.8429752066115702,0.7578559926386013,0.7016756828077583,0.7228190976315507,0.851281651453178,0.3255771945300005,27,0.934819897084048,0.46853146853146854
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R34,4,0.8264462809917356,0.724319270772467,0.7072173109908959,0.7149925224327018,0.8216453357962792,0.17829407209524542,31,0.9039451114922813,0.5104895104895105
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R34,5,0.8388429752066116,0.7501051909800682,0.6925056075999472,0.7136876592646524,0.8318259784812101,0.35324410177173743,43,0.9339622641509434,0.45104895104895104
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R50,1,0.8422865013774105,0.7566371681415929,0.6999274310595065,0.7211567732115678,0.8403363360481715,0.276580013547888,30,0.934819897084048,0.46503496503496505
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R50,2,0.8326446280991735,0.741714855433699,0.6635769890486872,0.6878063110133492,0.8052213652556706,0.35346294306968973,25,0.9425385934819898,0.38461538461538464
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R50,3,0.8409090909090909,0.7616176306074505,0.6753199630558121,0.7021797636880085,0.837910374359774,0.32334754422574297,31,0.9485420240137221,0.4020979020979021
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R50,4,0.8161157024793388,0.7032388599020643,0.6519659585697322,0.6695541737874132,0.7824431143470593,0.31381590283570876,30,0.9228130360205832,0.3811188811188811
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R50,5,0.8381542699724518,0.7458172458172458,0.7079100145137881,0.7235023041474654,0.8349176552435555,0.24265118405437122,37,0.9228130360205832,0.493006993006993
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R101,1,0.8161157024793388,0.7036157967699188,0.6598825702599287,0.6759250977405772,0.7782539073276638,0.30498893273794586,24,0.9176672384219554,0.4020979020979021
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R101,2,0.8347107438016529,0.7384837479096991,0.7189602849980209,0.7277933829295956,0.8353374755604601,0.28423833278948474,41,0.9099485420240138,0.527972027972028
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R101,3,0.8388429752066116,0.7458435940099833,0.7215331837973348,0.732307634126664,0.8316010747400113,0.26990962967638055,30,0.9150943396226415,0.527972027972028
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R101,4,0.8333333333333334,0.7390177224736048,0.6824778994590315,0.7029369494276584,0.830443570151975,0.26044214776330915,37,0.9313893653516295,0.43356643356643354
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R101,5,0.8367768595041323,0.7523964260373215,0.6674693231297004,0.6933638076907654,0.840456284710144,0.3055690683612329,33,0.9468267581475128,0.3881118881118881
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R152,1,0.8305785123966942,0.7354380064210366,0.6662488454941284,0.6888311217662801,0.8192943420216146,0.30243544386260046,33,0.9373927958833619,0.3951048951048951
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R152,2,0.8305785123966942,0.744603411021838,0.6398601398601399,0.6655204962243797,0.813542803680025,0.3975528600189598,30,0.9545454545454546,0.32517482517482516
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R152,3,0.8119834710743802,0.6931964864046227,0.624323789418129,0.6429839422211775,0.7720435653540284,0.38292541220838355,25,0.9339622641509434,0.3146853146853147
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R152,4,0.8305785123966942,0.7328042328042328,0.6820820688745217,0.700936394812989,0.8216363396466312,0.2742820942571997,28,0.9271012006861064,0.4370629370629371
224,none,reduce_on_plateau,None,Adam,0.01,CEL,R152,5,0.84366391184573,0.7594317652538426,0.7021044992743106,0.7235920852359209,0.8480850196116063,0.3077760798890468,37,0.9356775300171527,0.46853146853146854
224,none,reduce_on_plateau,None,Adam,0.01,CEL,D121,1,0.8574380165289256,0.7810433748841763,0.7410278400844439,0.7579109221347952,0.8780811812544231,0.28549308803019513,46,0.9331046312178388,0.548951048951049
224,none,reduce_on_plateau,None,Adam,0.01,CEL,D121,2,0.8415977961432507,0.7561274509803921,0.6955403087478559,0.7176673486295927,0.8519983447084647,0.2904061893994714,36,0.9365351629502573,0.45454545454545453
224,none,reduce_on_plateau,None,Adam,0.01,CEL,D121,3,0.8526170798898072,0.7990265906932573,0.6812904077055021,0.7144579508989124,0.8660713214744089,0.34610236452769,50,0.9639794168096055,0.3986013986013986
224,none,reduce_on_plateau,None,Adam,0.01,CEL,D121,4,0.8608815426997245,0.7900040716612378,0.739213616572107,0.7597719789670254,0.8834998620590387,0.2541494223547773,38,0.9399656946826758,0.5384615384615384
224,none,reduce_on_plateau,None,Adam,0.01,CEL,D121,5,0.8546831955922864,0.7774970781264048,0.731395962528038,0.7502231809832681,0.8676786335448428,0.28984665974042517,43,0.934819897084048,0.527972027972028
224,none,reduce_on_plateau,None,Adam,0.01,CEL,D169,1,0.8298898071625345,0.7363696125559801,0.6552645467739807,0.679289336560912,0.8420216147488876,0.3551727373966182,23,0.9433962264150944,0.36713286713286714
