ImageInput,Model,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var,Acc_class_0_mean,Acc_class_1_mean
512,efficientnet_b4,0.8922865013774105,0.0057744555967643545,3.3344337439003177e-05,0.8341245255245207,0.008992339506472016,8.086216979965738e-05,0.846404536014959,0.00929657436049827,8.642629484027382e-05,0.839926527308324,0.008328893458746095,6.937046624714348e-05,0.9353594889515062,0.002335510687243909,5.454610170230517e-06,0.05928870790760875,0.006963119158969966,4.84850284220146e-05,0.9251523063533508,0.7676567656765677
512,efficientnet_b5,0.8938016528925619,0.07813906454235377,0.006105713407554128,0.8413424887255816,0.11476893840850812,0.013171909223415929,0.8420158726055373,0.11023697800133632,0.012152191318867108,0.8415221599276981,0.11265625898763433,0.01269143268908894,0.9058061680841712,0.12768545191459832,0.0163035746306352,0.0726405090787085,0.10641474903090388,0.011324098811310258,0.9308964316797216,0.7531353135313531
512,regnety_008,0.9184573002754821,0.005435974451975531,2.9549818242530675e-05,0.8746179052707557,0.012938324462112754,0.00016740023988690527,0.8818947168868322,0.0024564959106004613,6.03437215879679e-06,0.8779182839785722,0.005790393531851997,3.3528657253713444e-05,0.9543457217784441,0.006498115911330795,4.2225510397090447e-05,0.04828565293527377,0.009356471920391084,8.754356679706681e-05,0.9446475195822452,0.8191419141914192
512,regnety_016,0.9230027548209367,0.005972309473465259,3.566848044684287e-05,0.8833692673669111,0.011385108602080215,0.00012962069788116092,0.8840377771458607,0.006854058419888025,4.697811682323793e-05,0.8836083049494444,0.008182680741583946,6.69562641186888e-05,0.9466926327097461,0.0036988001456534454,1.368112251748595e-05,0.04158741425505371,0.006047928420749956,3.657743818251506e-05,0.9509138381201044,0.817161716171617
512,resnext101_32x8d,0.9151515151515153,0.0027719850960741237,7.68390137285707e-06,0.8695252167229265,0.008905203348297596,7.930264667453072e-05,0.877375936027023,0.009373484900699702,8.786221918364531e-05,0.8729890086493477,0.0027114629424727864,7.352031288403182e-06,0.956589027048919,0.0011201015603998234,1.254627505610119e-06,0.051954570868482895,0.0049617172604974535,2.461863817311835e-05,0.9422106179286335,0.8125412541254127
1024,Resnet18,0.9112947658402204,0.0020889464033199967,4.36369707594355e-06,0.8660150337945307,0.003318869891499998,1.1014897356705209e-05,0.8652190023179864,0.0067379499178365785,4.5399969095273955e-05,0.8655497077064546,0.0038414953257991076,1.4757086338136393e-05,0.9577523287576799,0.0028888940943947697,8.345709088628976e-06,0.08028645164944248,0.008816069638756207,7.772308387539899e-05,0.9442993907745866,0.7861386138613862
1024,Resnet34,0.9108815426997247,0.007981258735987934,6.37004910107837e-05,0.8617735885117426,0.013503143165658245,0.00018233487535226296,0.8741919361648959,0.013447306178825294,0.00018083004346707292,0.8674639110568518,0.011409577162896535,0.00013017845103609015,0.9573410082522612,0.004439914635257349,1.97128419683724e-05,0.08290305051965746,0.01443068313741792,0.00020824461581255794,0.9371627502175803,0.8112211221122113
1024,Resnet50,0.9111570247933883,0.0015399917200411683,2.371574497795356e-06,0.8669470683470399,0.0062420432723260776,3.896310421359125e-05,0.8631879637049866,0.006890964181030985,4.748538734425203e-05,0.8648501604433093,0.001068673167166833,1.1420623382223896e-06,0.953837315846467,0.0020304086578400273,4.122559317831741e-06,0.0705925113006941,0.005322847602543344,2.8332706599901422e-05,0.9455178416013925,0.780858085808581
1024,Resnet101,0.9141873278236915,0.00844331270318287,7.128952940372922e-05,0.8684268964059699,0.02227655647701164,0.0004962449684734893,0.8784677162233194,0.008216674651061868,6.751374232140267e-05,0.8723548248414289,0.00852790188611424,7.272511057919083e-05,0.9584204373439956,0.002728106007916143,7.442562390428155e-06,0.07046611132525074,0.015566811629934051,0.00024232562432185004,0.9397737162750218,0.817161716171617
1024,Resnet152,0.9169421487603306,0.006670137748100947,4.449073757864118e-05,0.8718048451843441,0.012121894682390666,0.0001469403306909711,0.8804513610629993,0.010733965708717019,0.00011521801983591285,0.8757929426322167,0.0093341992037582,8.71272747754402e-05,0.9603856991443271,0.0029785829417255404,8.871956340738375e-06,0.06499084914434994,0.008835487080298543,7.806583194612247e-05,0.9430809399477807,0.8178217821782179
1024,Densenet121,0.9192837465564738,0.007534951458186122,5.677549347722117e-05,0.8757769220955861,0.014788131576855873,0.0002186888355344018,0.8833889133038632,0.008128627565122308,6.607458609246623e-05,0.8792168398228253,0.009587793770411308,9.192578938393788e-05,0.960793572829868,0.001665586026188259,2.7741768106335955e-06,0.07593460934069463,0.010819241465945862,0.00011705598589844236,0.9449956483899044,0.8217821782178218
1024,Densenet169,0.9177685950413224,0.0074111851527903895,5.492566536894071e-05,0.8723708364717542,0.016466959848056274,0.0002711607666374975,0.8858335703021998,0.015428148999806655,0.00023802778156023507,0.8779788100485316,0.009340577414468112,8.724638643567179e-05,0.9624848124499132,0.0020823362036574895,4.336124065062685e-06,0.057084760634138795,0.008041798615938092,6.467052497930379e-05,0.9406440382941688,0.8310231023102311
1024,Densenet201,0.9190082644628099,0.005691722730411679,3.239570763988498e-05,0.8772576321853442,0.01421649944373814,0.00020210885643380684,0.879812837680635,0.01341662095061176,0.0001800057177323944,0.877941359363129,0.007594671588835249,5.767903654226132e-05,0.9612726807928833,0.0017123378466732272,2.9321009011495047e-06,0.06620403676635664,0.016139684802692983,0.00026048942553027885,0.9470844212358573,0.8125412541254124
1024,efficientnet_b0,0.9196969696969696,0.0018607790752212337,3.4624987667811895e-06,0.8769606287339311,0.0037032603055219887,1.3714136890454812e-05,0.8817060034985221,0.008195895510105085,6.717270321256069e-05,0.8791796679801902,0.0036059145505719795,1.300261974602672e-05,0.9515273720583546,0.0058742485984218384,3.450679659606093e-05,0.045098032479898895,0.004900141745285729,2.4011389123891876e-05,0.9469103568320276,0.8165016501650164
1024,efficientnet_b1,0.9239669421487603,0.005121485521371418,2.6229613945617058e-05,0.8856774701203378,0.012463225965679574,0.00015533200147158956,0.8846470025592638,0.006219199585876165,3.867844348896226e-05,0.8848781927778211,0.005935680682392504,3.523230516332754e-05,0.9620528110252279,0.0029058666882221217,8.444061209719001e-06,0.02885165061499386,0.005932205585169313,3.519106310471398e-05,0.9521322889469104,0.817161716171617
