ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,1,0.9981894990947495,0.9984888969858909,0.997811952988247,0.9981466734408422,,0.006421692560154085,50
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,2,0.9987929993964997,0.998989898989899,0.9987080103359173,0.9988462587317237,,0.0027091819719806355,10
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,3,0.9975859987929994,0.9979879275653923,0.9974160206718347,0.9976911976911977,,0.008463788486937069,10
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,4,0.9969824984912492,0.997492893001875,0.9960198382929065,0.9967441566296217,,0.00525218001167935,22
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,5,0.9993964996982498,0.9994939271255061,0.9993540051679587,0.9994232919283152,,0.0062361893554752175,14
224,none,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,1,0.9987929993964997,0.998989898989899,0.9987080103359173,0.9988462587317237,,0.0037660161602231703,11
224,none,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,2,0.9987929993964997,0.9989929251214981,0.9984579478202884,0.9987237066374335,,0.001577037815771064,12
224,none,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,3,0.9987929993964997,0.998989898989899,0.9987080103359173,0.9988462587317237,,0.0024865274451704514,32
224,none,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,4,0.9987929993964997,0.998989898989899,0.9987080103359173,0.9988462587317237,,0.0021734163843067696,10
224,none,reduce_on_plateau,None,Adam,0.0001,TCEL,R18,5,0.9981894990947495,0.9984879032258065,0.998062015503876,0.9982688955947328,,0.004984852096583406,35
224,none,reduce_on_plateau,None,Adam,0.0001,FL,R18,1,0.9981894990947495,0.9984879032258065,0.998062015503876,0.9982688955947328,,0.027665038522387966,50
224,none,reduce_on_plateau,None,Adam,0.0001,FL,R18,2,0.9987929993964997,0.998989898989899,0.9987080103359173,0.9988462587317237,,0.0351025593038489,10
224,none,reduce_on_plateau,None,Adam,0.0001,FL,R18,3,0.9969824984912492,0.9974879032258064,0.9962699008085355,0.9968686130151851,,0.04349356421359995,50
224,none,reduce_on_plateau,None,Adam,0.0001,FL,R18,4,0.9975859987929994,0.997989898989899,0.9966658331249479,0.9973181585049462,,0.029696575174164682,14
224,none,reduce_on_plateau,None,Adam,0.0001,FL,R18,5,0.9969824984912492,0.9970897928953258,0.9968028455646377,0.9969441390687835,,0.04436221614903473,50
