ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,1,0.8987603305785123,0.8505611193859035,0.8168953687821612,0.8320765271080712,0.9366521128956806,0.06844261214897335,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,2,0.900137741046832,0.8597370583401808,0.8085169547433698,0.8304206942490111,0.9283036860223823,0.06771219515498283,9
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,3,0.9049586776859504,0.8635076649273955,0.823393587544531,0.8412113758257364,0.9170495028127961,0.06887696470626611,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,4,0.9035812672176309,0.8685974525012453,0.8106610370761314,0.835027852440497,0.9300159531720422,0.0691375631312361,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R18,5,0.9097796143250688,0.8855343299601912,0.8145203852751022,0.8434828545543862,0.9265014573762429,0.06134967630194784,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R34,1,0.9159779614325069,0.8775076935062911,0.8487267449531601,0.8620201894317049,0.9396988089097866,0.05371117733412764,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R34,2,0.9146005509641874,0.8847479683801033,0.8333553239213616,0.8556289691449099,0.9348858688481329,0.04578441312305031,9
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R34,3,0.9070247933884298,0.8767077227366717,0.8141245546905924,0.8401901868850294,0.9219554030874786,0.045495810276546166,9
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R34,4,0.9070247933884298,0.8734609737806617,0.8180828605356907,0.841640309739339,0.9354856121579963,0.04960007036336411,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R34,5,0.9166666666666666,0.8890712090430797,0.835961208602718,0.8589117318992052,0.9372788446544879,0.054013402212047625,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R50,1,0.9194214876033058,0.8757185651739765,0.8667040506663148,0.8711030415415071,0.941444061941489,0.057194133604572144,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R50,2,0.9132231404958677,0.8736413043478262,0.8430531732418525,0.8570915260380377,0.9314613345488132,0.05279609979190942,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R50,3,0.9042699724517906,0.8645044903049843,0.8190064652328803,0.8388829061555274,0.9380075327759718,0.04895447350335484,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R50,4,0.9180440771349863,0.8915924363181748,0.8381382768175221,0.8612437693884746,0.9438580287636891,0.04856134167565522,9
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R50,5,0.9146005509641874,0.8743094992256066,0.8478691120200554,0.8601534174053258,0.9456512612601805,0.054264364918094075,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R101,1,0.9139118457300276,0.8851221175195371,0.8302876368914105,0.853810943318113,0.9485240317144262,0.052266788004330884,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R101,2,0.9132231404958677,0.8902978129362493,0.8219422087346615,0.8501547987616098,0.9474384963235736,0.04203600553681589,9
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R101,3,0.9097796143250688,0.8673054067694512,0.838270220345692,0.8516313669879557,0.9345799997601026,0.052727978389056546,8
224,none,reduce_on_plateau,None,Adam,0.0001,CEL,R101,4,0.9132231404958677,0.8681143072006017,0.8522892202137485,0.8598593016557793,0.9493786659309815,0.04905020968038667,9
