ImageInput,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
224,R18,1,0.9008264462809917,0.850348245495034,0.848641522115658,0.849490354160668,0.9323791386971595,0.07182161085083794,20,0.938207136640557,0.759075907590759
224,R18,2,0.9042699724517906,0.855326806795278,0.85446233918431,0.8548934319269248,0.9376412837106166,0.06057982855508573,20,0.9399477806788512,0.768976897689769
224,R18,3,0.8980716253443526,0.8409459734964322,0.8602659221535731,0.8499979059345814,0.9406170382051259,0.0718679465363233,20,0.9251523063533508,0.7953795379537953
224,R18,4,0.9028925619834711,0.8527358793324775,0.853592017165163,0.8531628174848793,0.9392095867550202,0.05895072815551076,23,0.938207136640557,0.768976897689769
224,R18,5,0.9008264462809917,0.8421821609520443,0.8753716102680764,0.8569739952718676,0.9318477539659972,0.07783667967834365,18,0.9190600522193212,0.8316831683168316
224,R34,1,0.90633608815427,0.8557307430148636,0.8642728502615276,0.8598901098901099,0.9388562877175446,0.04139820477627542,24,0.9364664926022629,0.7920792079207921
224,R34,2,0.9070247933884298,0.8560628008557676,0.8671380192849572,0.8614126688418887,0.9407951238988128,0.049658890775412946,20,0.9355961705831157,0.7986798679867987
224,R34,3,0.9097796143250688,0.8620754245754245,0.8664486553093952,0.8642334922410266,0.936960536784749,0.059736826255260805,20,0.9408181026979983,0.7920792079207921
224,R34,4,0.8966942148760331,0.8369675677245144,0.8666856241759946,0.8503545319628428,0.941223104033641,0.06336963329167157,18,0.918189730200174,0.8151815181518152
224,R34,5,0.9152892561983471,0.8687075324907929,0.8784349714344802,0.8734330253656953,0.9415878924707091,0.05565734790675682,20,0.9416884247171453,0.8151815181518152
224,R50,1,0.8973829201101928,0.8368602540834846,0.8731958052202087,0.8528147775737582,0.9448566266548326,0.0643604918752335,22,0.9147084421235857,0.8316831683168316
224,R50,2,0.9049586776859504,0.8633226081456425,0.8415324561176745,0.8517275366951703,0.9389252241151007,0.044603398677799264,21,0.9503916449086162,0.7326732673267327
224,R50,3,0.9056473829201102,0.8516133582154327,0.8723427173004507,0.8613057716750694,0.9449772653505558,0.0635536119271484,18,0.9295039164490861,0.8151815181518152
224,R50,4,0.8994490358126722,0.841356735106652,0.8684262682142888,0.8536936837455831,0.9462640781049384,0.06108726036818591,20,0.9216710182767625,0.8151815181518152
224,R50,5,0.9042699724517906,0.8529014844804319,0.8605373592189506,0.8566292661616,0.9396605456890338,0.04625683166764255,21,0.9355961705831157,0.7854785478547854
224,R101,1,0.890495867768595,0.8311395759717315,0.8445441149859112,0.8375385187004376,0.9456867357754054,0.05512456294090448,24,0.9234116623150566,0.7656765676567657
224,R101,2,0.9097796143250688,0.8567502151462996,0.8810287033925324,0.8679830512591832,0.9475307844100337,0.05217751956981753,19,0.9303742384682332,0.8316831683168316
224,R101,3,0.9049586776859504,0.8500906883420338,0.8731225602978052,0.8607707166580969,0.9413868279778369,0.04839544995100589,26,0.927763272410792,0.8184818481848185
224,R101,4,0.9028925619834711,0.846987951807229,0.8706020732621564,0.8579054215843116,0.9453995007855877,0.05125274575882826,21,0.9260226283724978,0.8151815181518152
224,R101,5,0.8960055096418733,0.8342074086178546,0.8759704952218459,0.8521188461260887,0.9458360979701103,0.05676247325423678,18,0.9103568320278503,0.8415841584158416
224,R152,1,0.8939393939393939,0.8324618253419744,0.8661599841446286,0.8473769708552317,0.9461549288088078,0.060453928768076495,21,0.9138381201044387,0.8184818481848185
224,R152,2,0.9056473829201102,0.8523771998949303,0.8699127092865945,0.8606661581489956,0.9426334278336449,0.05723654153014587,19,0.9312445604873804,0.8085808580858086
224,R152,3,0.9090909090909091,0.857137396764726,0.8757335263552465,0.8659062160679705,0.9479156792963892,0.047815423785584454,24,0.9329852045256745,0.8184818481848185
224,R152,4,0.9139118457300276,0.8717911250350696,0.8654146093460522,0.8685444649252732,0.9495414293387564,0.0401482325080088,24,0.9486510008703221,0.7821782178217822
224,R152,5,0.8953168044077136,0.8363944579047086,0.8585252781152789,0.8466460067538459,0.9420819366531953,0.05864780170819767,21,0.9216710182767625,0.7953795379537953
224,D121,1,0.9166666666666666,0.8802455141809763,0.8622952373566338,0.8708222095922369,0.9522988852410045,0.04051398029386526,25,0.9556135770234987,0.768976897689769
224,D121,2,0.9056473829201102,0.8531857332155477,0.8674827012727382,0.8600174657984903,0.9495557910882472,0.05347398065481321,18,0.9329852045256745,0.801980198019802
224,D121,3,0.9111570247933884,0.8657788655341203,0.864888969314686,0.8653327533710309,0.9477864235509713,0.051354388069849766,21,0.9442993907745866,0.7854785478547854
224,D121,4,0.8994490358126722,0.8459691532502374,0.8526312161242233,0.8492297625990356,0.9368542598385164,0.060728085561416026,18,0.9329852045256745,0.7722772277227723
224,D121,5,0.9056473829201102,0.8527757928873743,0.8686977052796663,0.8603429574374726,0.9417458717151088,0.0591219797013538,24,0.9321148825065274,0.8052805280528053
