ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var
224,none,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Resnet18,0.9997245179063361,0.0003772193922211774,1.4229446986771447e-07,0.9998024376868511,0.0002778862534613357,7.722076986277772e-08,0.9977011494252874,0.0031478307902595413,9.908838684106007e-06,0.9987417228883068,0.0017232606850905974,2.9696273887789156e-06,,,,0.0015477059183418948,0.0002712221772696259,7.356146944287636e-08
224,none,reduce_on_plateau,None,Adam,0.0001,TotalCrossEntropyLoss,Resnet18,0.9994490358126722,0.0003079983440082262,9.486297991180964e-08,0.9995329830706362,0.0002610704001751037,6.815775384758878e-08,0.9954022988505746,0.002570193077585937,6.605892456070671e-06,0.9974474463031411,0.0014269208955986579,2.036103242296076e-06,,,,0.0005411084860669997,0.0002749531448275368,7.559923185055244e-08
224,none,reduce_on_plateau,None,Adam,0.0001,FocalLoss,Resnet18,0.9984848484848484,0.0012319933760329606,1.517807678589092e-06,0.9976448341200636,0.003349668663770318,1.1220280157044828e-05,0.9894573072005983,0.0065759088453537845,4.3242577142402144e-05,0.9934694059596513,0.004750204974770852,2.256444730233775e-05,,,,0.023410718227009422,0.0019295088660346604,3.7230044641063605e-06
224,basic,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Resnet18,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.00041275382496812454,0.00027236955620827026,7.418517514909008e-08
224,basic,reduce_on_plateau,None,Adam,0.0001,TotalCrossEntropyLoss,Resnet18,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,8.734334712656284e-05,9.407178556000387e-05,8.849500838447353e-09
224,basic,reduce_on_plateau,None,Adam,0.0001,FocalLoss,Resnet18,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.013448085928438765,0.0033522653867481874,1.1237683223189976e-05
224,advanced,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Resnet18,0.9990358126721762,0.0003772193922211774,1.4229446986771447e-07,0.9992188699247414,0.00027736906573549183,7.69335986269796e-08,0.9929864892115345,0.0025175782618230185,6.338200304403812e-06,0.9960621420999342,0.001410481327189079,1.9894575743490663e-06,,,,0.0019118477191574883,0.0010439793077750168,1.0898927950624032e-06
224,advanced,reduce_on_plateau,None,Adam,0.0001,TotalCrossEntropyLoss,Resnet18,0.9990358126721762,0.0003772193922211774,1.4229446986771447e-07,0.9971169685996095,0.003148391745757323,9.912370584752844e-06,0.9940189554345634,0.00032030558918438976,1.0259567046275906e-07,0.9955528160239883,0.0017205223306779815,2.9601970903615936e-06,,,,0.0006410198522428683,0.0006012024103274722,3.6144433818356226e-07
224,advanced,reduce_on_plateau,None,Adam,0.0001,FocalLoss,Resnet18,0.9990358126721762,0.0003772193922211774,1.4229446986771447e-07,0.9992188699247414,0.00027736906573549183,7.69335986269796e-08,0.9929864892115348,0.0025175782618230185,6.338200304403811e-06,0.9960621420999342,0.001410481327189079,1.9894575743490663e-06,,,,0.024942647659690533,0.007011612876220736,4.916271512598442e-05
224,mixup,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Resnet18,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.00035316276780602516,9.700649514798982e-05,9.410260100896973e-09
224,mixup,reduce_on_plateau,None,Adam,0.0001,TotalCrossEntropyLoss,Resnet18,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.00023187969624341906,0.00025028265060237005,6.264140519254803e-08
224,mixup,reduce_on_plateau,None,Adam,0.0001,FocalLoss,Resnet18,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.018217502048136505,0.003960762194952912,1.568763716496821e-05
224,cutmix,reduce_on_plateau,None,Adam,0.0001,CrossEntropyLoss,Resnet18,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.0011393969249948244,0.0008688659450492017,7.549280304662424e-07
