ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var,Acc_class_0_mean,Acc_class_1_mean
224,basic,reduce_on_plateau,None,Adam,0.001,CrossEntropyLoss,Densenet169,0.8873278236914601,0.00867877906447566,7.532120604998103e-05,0.830903380106062,0.01506996906742466,0.00022710396769313608,0.7984298720147777,0.016840551109920762,0.0002836041616858534,0.8128599768728091,0.015346614491847503,0.00023551857636138382,0.9243381832575658,0.010467699239727797,0.0001095727273733979,0.22043455856311342,0.026463399845193195,0.0007003115313665713,0.9451114922813038,0.6517482517482518
224,basic,reduce_on_plateau,None,Adam,0.001,CrossEntropyLoss,Vision,0.7958677685950413,0.0075223511960953995,5.658576751739789e-05,0.592298857089519,0.113523911428163,0.012887678465949398,0.5353872542551787,0.03370159190237291,0.001135797296754087,0.5165449775840386,0.061940974938259424,0.0038366843763020823,0.6527135386054769,0.03755108476621315,0.0014100839671193249,0.3759788525619931,0.1210271463898122,0.014647570163261032,0.965180102915952,0.10559440559440561
224,basic,reduce_on_plateau,None,Adam,0.001,ReverseCrossEntropyLoss,Resnet18,0.43760330578512396,0.3062964169072293,0.09381749501020724,0.32268611599108715,0.20990307572525377,0.04405930119892162,0.5025794959757224,0.011928955568247706,0.00014229998094922793,0.3081210672440412,0.16569973074092084,0.02745640076761367,0.5059488538905349,0.012106197610106029,0.00014656002057493692,0.0005587788402720011,0.0007679330918337553,5.897212335333508e-07,0.39536878216123494,0.6097902097902097
224,basic,reduce_on_plateau,None,Adam,0.001,ReverseCrossEntropyLoss,Resnet50,0.5603305785123966,0.33170206220769805,0.11002625807283958,0.2802758620689655,0.165951740752408,0.02753998025875444,0.499828473413379,0.00038354510763290373,1.471068495891357e-07,0.3329648710024017,0.15373478180810998,0.023634383137587183,0.503788278616752,0.05599452936138191,0.003135387318402661,4.2281441402151684e-05,9.45278458751195e-05,8.935513645790347e-09,0.5996569468267581,0.4
224,basic,reduce_on_plateau,None,Adam,0.001,ReverseCrossEntropyLoss,Resnet101,0.19696969696969696,0.0,0.0,0.09848484848484848,0.0,0.0,0.5,0.0,0.0,0.16455696202531644,0.0,0.0,0.5,0.0,0.0,2.078531345242588e-09,2.7557977270595247e-09,7.594421112466442e-18,0.0,1.0
224,basic,reduce_on_plateau,None,Adam,0.001,ReverseCrossEntropyLoss,Resnet152,0.493526170798898,0.2935199979184233,0.08615398917803124,0.38406621639622346,0.16905868307487149,0.028580838323009835,0.49966354400316665,0.009632397182996794,9.278307549100457e-05,0.3380712805396981,0.1283496024535316,0.01647362044997961,0.5096639638234836,0.026089654468428133,0.0006806700702819721,0.000581524316508046,0.0012629914463713262,1.5951473936071342e-06,0.48953687821612357,0.5097902097902098
224,basic,reduce_on_plateau,None,Adam,0.001,ReverseCrossEntropyLoss,Densenet121,0.5725895316804408,0.3162543134052789,0.10001679074744436,0.3655266333264826,0.15851031686798694,0.025125520553589624,0.5024475524475525,0.005472893651223238,2.995256491759962e-05,0.3496656755766899,0.1343109528442281,0.01803943205392446,0.4993537765836223,0.026136418216484686,0.0006831123571869926,0.0012539651737013934,0.0028039460905993603,7.862113678987436e-06,0.6181818181818182,0.3867132867132867
224,basic,reduce_on_plateau,None,Adam,0.001,ReverseCrossEntropyLoss,Densenet169,0.3210743801652893,0.2694943269968141,0.07262719228346574,0.25129583147522877,0.2165727791873129,0.046903768684916594,0.50127325504684,0.002847084837428806,8.10589207151701e-06,0.22483031003985404,0.12361055535256044,0.015279569394568409,0.4944874593673908,0.016413829138748722,0.0002694137869960366,7.797381808949336e-05,0.0001743480243603539,3.039723359835856e-08,0.2039451114922813,0.7986013986013986
224,basic,reduce_on_plateau,None,Adam,0.001,TotalCrossEntropyLoss,Resnet18,0.8943526170798899,0.005856019743658801,3.4292967238121685e-05,0.841431336320208,0.009517065049267694,9.05745271519927e-05,0.8128315081145269,0.012745477619112414,0.00016244719973929544,0.8257980043313029,0.010561925802336659,0.00011155427665406487,0.9290923484748527,0.007808952405671282,6.097973767403931e-05,0.10521780867735793,0.0066312538387151695,4.397352747347467e-05,0.9473413379073756,0.6783216783216783
224,basic,reduce_on_plateau,None,Adam,0.001,TotalCrossEntropyLoss,Resnet34,0.887052341597796,0.013530910953435593,0.0001830855512298033,0.8327901990186699,0.01841761131618253,0.00033920840659397477,0.7919250560759995,0.03507120656105545,0.0012299895296482189,0.8091808071246296,0.029489532468975926,0.0008696325252387855,0.9186382228406241,0.016452131623032728,0.00027067263494159346,0.11789064689426798,0.01876592489434444,0.00035215993714017633,0.9488850771869641,0.634965034965035
224,basic,reduce_on_plateau,None,Adam,0.001,TotalCrossEntropyLoss,Resnet50,0.884435261707989,0.006630911791686451,4.3968991189126425e-05,0.8309311224407974,0.014052534551036675,0.0001974737273080795,0.7839622641509434,0.010902235726778776,0.00011885874384225153,0.8038620058522692,0.010902647067980265,0.00011886771308893866,0.9193693099353476,0.011749155624879366,0.00013804265789763443,0.13290497305405896,0.012302946421932637,0.00015136249066094508,0.9497427101200685,0.6181818181818182
224,basic,reduce_on_plateau,None,Adam,0.001,TotalCrossEntropyLoss,Resnet101,0.8820936639118457,0.006011887835480763,3.614279534640158e-05,0.8348469114385543,0.007028982975255722,4.940660166643479e-05,0.767462725953292,0.025306466875215077,0.000640417265706358,0.7932093040519732,0.018029384838237895,0.00032505871764528253,0.9138618671208724,0.010142641087176586,0.00010287316822328265,0.137707332308844,0.012492186796889005,0.00015605473096836798,0.9566037735849056,0.5783216783216782
224,basic,reduce_on_plateau,None,Adam,0.001,TotalCrossEntropyLoss,Resnet152,0.8786501377410468,0.010231387898652255,0.00010468129833268779,0.8235511651638449,0.01773403761578197,0.0003144960901579699,0.7698047235783084,0.03142476708137632,0.000987515986118753,0.7908716767736659,0.023930447292930698,0.0005726663076397341,0.9109105302930345,0.011947751993450445,0.00014274877769699908,0.1390811378675441,0.016152024266574368,0.0002608878879080073,0.9493996569468267,0.5902097902097901
