Norm,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var,Acc_class_0_mean,Acc_class_1_mean
1,0.8900826446280992,0.01045154157856417,0.00010923472136845564,0.827796871630564,0.01726220002670954,0.00029798354976213077,0.8639660832924022,0.0038706975294475086,1.4982299364471048e-05,0.8430302026745432,0.010812074784625762,0.0001169009611483402,0.9312899436157716,0.0054827134663095545,3.0060146953652128e-05,0.09386183271458218,0.017065211444387635,0.0002912214416416587,0.9087902523933856,0.8191419141914192
5,0.8869146005509642,0.009312671168982723,8.672584430160204e-05,0.8227340024325971,0.014524911214251668,0.00021097304578189386,0.8617213418469782,0.00735094802844982,5.40364369169703e-05,0.8391713337883197,0.010690133354554243,0.00011427895113815313,0.9310779641932863,0.0038493489711026838,1.481748750132929e-05,0.09595801040249777,0.012200273015438403,0.00014884666165123448,0.9049608355091385,0.8184818481848184
10,0.8883379247015611,0.008695419039613598,7.561031227447467e-05,0.8251070448517404,0.014034393538849176,0.00019696420200329153,0.8619726724630686,0.007358980955881236,5.415460070902271e-05,0.840648842313873,0.009350818720014016,8.743781073456455e-05,0.9318983073242051,0.003829931788308304,1.4668377503094444e-05,0.08948295828168804,0.01674569753599371,0.00028041838596698585,0.9072236727589208,0.8167216721672167
