Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
n4,1,0.8671679197994987,0.8353260869565218,0.7350730472902418,0.7684823039005044,0.891529712796681,0.04254269142309076,0.8176691729323309,0.8301035050023349,0.8351771972474117,0.8181408562845476,0.9692450494978734,0.9467666520764527,0.8013784461152882,0.5355748990157593,0.5517837449842643,0.5413789036682032,0.8661568301303785,0.5584442477194144,17
n4,2,0.8602756892230576,0.8023731622154022,0.752337701432724,0.7726023633744055,0.8678563701188136,0.051534970215727414,0.7907268170426065,0.7976341329269065,0.8172299281749735,0.790558959177065,0.9612073801398634,0.9254034534308492,0.7994987468671679,0.5414562403837452,0.5489000873388236,0.5385716889270743,0.8438790201526764,0.5476380917986304,17
n4,3,0.856516290726817,0.8121242602166132,0.7196616212453317,0.7502731400342322,0.8726281972888307,0.05376989210046678,0.768796992481203,0.7956401358902838,0.8056583567581732,0.7674129092941118,0.9605014806418805,0.9358513637556803,0.8258145363408521,0.5501340996168582,0.5698926379845516,0.5591712590272512,0.860972345086104,0.5191548609897387,16
n4,4,0.8677944862155389,0.8241174162583377,0.7506161748243196,0.7780105485134717,0.8664617454210214,0.04336151072456227,0.7888471177944862,0.7965970531407305,0.8100417787736699,0.789504621120847,0.9504975590724376,0.9722107039163809,0.8364661654135338,0.5574074074074075,0.5773277954386192,0.5665160169296382,0.8509792119479539,0.5328343098395756,17
n4,5,0.8583959899749374,0.8076323312830287,0.7338359940169894,0.7606237257900101,0.8811558687124297,0.05611771951880239,0.7794486215538847,0.8083733998671867,0.8085898431296346,0.7824856714582623,0.9629268580733771,0.9756447171792315,0.8126566416040101,0.5472180551388472,0.5585437017805082,0.5480786150703758,0.8468900159096879,0.5510168689929119,16
n3,1,0.8690476190476191,0.8421937824011498,0.7351835824686503,0.7701155128817434,0.8850410626428725,0.048719689512941484,0.9210526315789473,0.9194844354187285,0.9310870532789598,0.9215456291569106,0.9935191442760594,0.4527426849109516,0.9116541353383458,0.6078926499108818,0.6322643697351101,0.6192227742878952,0.9256219407332794,0.3106146612993571,17
n3,2,0.8640350877192983,0.807009841029523,0.7622952747387137,0.7809310613330027,0.8793755467963612,0.0544345684043384,0.9210526315789473,0.9177751775075189,0.931246624246914,0.9221784551440908,0.9904493465976612,0.45809831801766976,0.9022556390977443,0.6007214206437291,0.6245123393062185,0.6123841469158404,0.9300921822769359,0.33886586335233065,17
n3,3,0.8728070175438597,0.8445331139448786,0.7462229894356591,0.7798765768452836,0.8821553889427194,0.056765004744474455,0.9141604010025063,0.9116757040390857,0.925279234721238,0.9150669433523002,0.9903019888004154,0.47848099755811735,0.9047619047619048,0.6025731288240718,0.6269791783790414,0.6143789460316007,0.9307473916952066,0.3373582297229799,17
n3,4,0.8652882205513784,0.8268563092633114,0.7371261794338717,0.7681685422940059,0.8796295425254701,0.04931582281874981,0.9223057644110275,0.9175614952932435,0.9282822499115719,0.9216771012812746,0.9923622108393069,0.4378673043613684,0.9147869674185464,0.6095035264947815,0.6341076845671504,0.6212220129563278,0.946180697453193,0.2994754223297573,17
n3,5,0.8571428571428571,0.8360881760986355,0.6995042379657764,0.736468870580874,0.8803515489035849,0.04217551678092915,0.9129072681704261,0.9112627338840777,0.9212472335468279,0.9138777777431695,0.9911842561021456,0.4625855161085095,0.899749373433584,0.599353596796052,0.6236474691616722,0.6110234757439834,0.9175236203470017,0.3310079561048353,17
n2,1,0.8627819548872181,0.8392840656033149,0.7160633484162896,0.7526353671042492,0.8736771055775581,0.04982593363844807,0.9893483709273183,0.9882783862460283,0.9903298013074427,0.989270444758619,0.9998578396019994,0.09013398944622429,0.9636591478696742,0.883279662365377,0.8390254194535952,0.8580189107290055,0.9908511470030964,0.1264122634861432,17
n2,2,0.8609022556390977,0.8042929292929293,0.7516533240515141,0.7727574750830565,0.8730256535686399,0.054040509066182234,0.9880952380952381,0.9879820799843426,0.9884557807461999,0.9882106587689035,0.9995454085156127,0.08970800426032285,0.9598997493734336,0.8746804743526054,0.8006672932630057,0.8284860088711533,0.9872008433540246,0.13603646282826737,17
n2,3,0.87531328320802,0.8486555250360084,0.7510583155379535,0.7848198261371513,0.8864098174052926,0.05555840836824931,0.9824561403508771,0.981557029709073,0.9838611239060341,0.982675579609188,0.999469219987591,0.10747964459457057,0.9598997493734336,0.9084859229437544,0.8061351813736111,0.8418259848752476,0.9895123421132217,0.1425168393616092,17
n2,4,0.8533834586466166,0.7977562158884173,0.726329009134439,0.7521502293577982,0.8810947215924592,0.05511533410973247,0.9868421052631579,0.9853804293117513,0.9889101095929375,0.9870134128813354,0.9997910545284743,0.0841645642034651,0.9580200501253133,0.8573225885104488,0.8149107697879576,0.8328228009821691,0.9892073709585157,0.10814435123451013,25
n2,5,0.8690476190476191,0.837710528148347,0.739510917112727,0.7727293477187018,0.8844013696954874,0.04860908132393598,0.9874686716791979,0.9867998185526731,0.9883841084065634,0.9875490137486245,0.9997640674010809,0.09518235071905823,0.9580200501253133,0.9288736052473107,0.7647277369644865,0.8057371611680445,0.9918560050683566,0.1382693513235975,17
n1,1,0.8615288220551378,0.8313646819665115,0.7185139368397288,0.753339762386125,0.8767321097637839,0.055024999240753804,0.9949874686716792,0.9948137603723124,0.9955231109917705,0.9951611114149539,0.9999725591697347,0.02499978301264148,0.9824561403508771,0.9196518556741088,0.9271943704860055,0.9233530151656112,0.9981220466885029,0.04118506390249946,17
n1,2,0.8609022556390977,0.8125703889803344,0.7375894864582647,0.7648604740061162,0.8781149754000434,0.06389234266087407,0.9924812030075187,0.9928824493375802,0.99235663288807,0.9926164168006778,0.999864316051375,0.030457901038634903,0.9843358395989975,0.9687112140301605,0.898459257059761,0.9281988986357946,0.9980596994065235,0.036282299435312866,50
n1,3,0.8703007518796992,0.8372039873571602,0.7446331643164222,0.7767948290923684,0.8823858665487623,0.05748450760000587,0.9943609022556391,0.9941010849764559,0.9947746079977585,0.9944316629191492,0.9999434869619315,0.026626933080704535,0.9880952380952381,0.9783546551894973,0.9112349408767236,0.9400314938818967,0.9986168696619062,0.03564044977534653,16
n1,4,0.8696741854636592,0.8364158163265306,0.7431538743755939,0.7754028929813404,0.8794766747255436,0.05362502141574812,0.9968671679197995,0.9970589591510897,0.9967929525564256,0.9969251685396494,0.9999772601341197,0.018721044893729406,0.9862155388471178,0.9697776398725223,0.8998442986110077,0.9294136070446374,0.9988247590470508,0.027815472183691042,18
n1,5,0.8640350877192983,0.8161044728772338,0.7460677698234259,0.7723068386446967,0.8880725487060329,0.05507602350981974,0.9943609022556391,0.9934038182622709,0.995310075524244,0.9943336388677224,0.999958548128536,0.026985476268412367,0.9899749373433584,0.9699551006549822,0.9376339842141439,0.9527121701034744,0.9989826406443795,0.03528337404324568,17
0,1,0.8552631578947368,0.8265577412990595,0.7004755364483871,0.7358840651141532,0.8594580483720755,0.05854270394749151,1.0,1.0,1.0,1.0,1.0,0.007075411014050034,0.993734335839599,0.9843544471079969,0.9553607919713002,0.9690379625993123,0.999696171473938,0.014371968380323915,17
0,2,0.8709273182957393,0.8341240257539817,0.7504397889013273,0.7806170928308334,0.8747801055493363,0.0709028915459771,0.9987468671679198,0.9985119047619048,0.9990384615384615,0.9987720357748828,0.9999995531884472,0.004570008946381645,0.9931077694235589,0.9836267881679593,0.9498963110969831,0.9656360482447438,0.9997553763279342,0.013040240269015005,32
0,3,0.8728070175438597,0.8393273393273393,0.751632157740755,0.7829207222575474,0.8827997855147176,0.06729277170185542,1.0,1.0,1.0,1.0,1.0,0.0049869012530636804,0.9962406015037594,0.9868589443456005,0.977218715468568,0.9819502074688797,0.9998380582768701,0.011818578071847744,19
0,4,0.8677944862155389,0.812038753501211,0.7711710143836841,0.7885610920413113,0.881762636287523,0.07024745440303189,1.0,1.0,1.0,1.0,1.0,0.0053772396124673605,0.9974937343358395,0.9881476772172016,0.9881476772172016,0.9881476772172016,0.9999198214963019,0.011312669464518723,31
0,5,0.8577694235588973,0.8166518998299268,0.7193747001439309,0.7510347438927261,0.8874963546909247,0.06920651264072583,1.0,1.0,1.0,1.0,1.0,0.005319385306736641,0.9918546365914787,0.987998254096159,0.9339645489911147,0.9580514033050447,0.9996241646859169,0.015554787627359295,17
p1,1,0.8609022556390977,0.8118362831858408,0.7386713201192839,0.7654948202783521,0.8712453316525715,0.09250373973752749,0.9993734335839599,0.9991909385113269,0.9995192307692308,0.9993541976373617,1.0,0.0028521022821510027,0.993734335839599,0.9955737782081283,0.9453551912568307,0.9680161353188338,0.9999964400776062,0.006397062395048257,24
p1,2,0.856516290726817,0.8210792689287526,0.709925118296159,0.7436522214857599,0.8875504463739757,0.08640892309927335,1.0,1.0,1.0,1.0,1.0,0.0015401346713561559,0.9962406015037594,0.9972979732264463,0.9672131147540983,0.9814035260981425,0.9999872072785073,0.007841472849587923,24
p1,3,0.8571428571428571,0.8157718944268731,0.7178954102031025,0.7495781432798844,0.881769691724443,0.08838360427196355,1.0,1.0,1.0,1.0,1.0,0.001795676051166923,0.993734335839599,0.9843544471079969,0.9553607919713002,0.9690379625993123,0.999864309706085,0.006815307420590462,27
p1,4,0.8659147869674185,0.8200965176059754,0.7483419723238728,0.7751550341667655,0.880196329291352,0.08906278934468241,1.0,1.0,1.0,1.0,1.0,0.0011585725998171119,0.9968671679197995,0.9924137931034482,0.97768039598565,0.9848425894200113,0.9998871162085292,0.008699971060188908,27
p1,5,0.856516290726817,0.8222062169134589,0.7088432846351398,0.74288759369537,0.8710901120403383,0.06383722969517187,0.9993734335839599,0.9994252873563219,0.9995192307692308,0.9994716970265514,0.9999995531884472,0.002937759502710982,0.9981203007518797,0.9986206896551724,0.983606557377049,0.9909055536520067,0.9999713828731989,0.006489321361070487,22
p2,1,0.8508771929824561,0.7922197640117994,0.723657350354183,0.7485935460641793,0.8802057365405782,0.08113199332250347,1.0,1.0,1.0,1.0,1.0,0.000641855116903941,0.9968671679197995,0.9977074736359469,0.9726775956284154,0.9846047672134629,0.9999918236780568,0.00533304303529665,24
p2,2,0.8527568922305765,0.785772339125731,0.7497318933970518,0.7650869884647977,0.8735571631499233,0.09199322602075528,1.0,1.0,1.0,1.0,1.0,0.0005582393882774238,0.9949874686716792,0.9963470319634703,0.9562841530054644,0.9747716398434102,0.9999591183902842,0.004620874647667162,38
p2,3,0.8483709273182958,0.786230478222912,0.722067525234946,0.7457360666745665,0.8654528179415056,0.12893582867303688,0.9993734335839599,0.9992537313432835,0.9995192307692308,0.9993856919453712,1.0,0.001951530614880937,0.993734335839599,0.9955290360534499,0.9453551912568307,0.9679920475375021,0.9999571431836242,0.00807106680791681,18
p2,4,0.8552631578947368,0.806160953075614,0.7221122096687708,0.7509159686972807,0.8696413956594953,0.08128969097219428,1.0,1.0,1.0,1.0,1.0,0.0004578182063394894,0.9981203007518797,0.9986206896551724,0.983606557377049,0.9909055536520067,0.9999918236780568,0.002673569967533909,32
p2,5,0.8533834586466166,0.8094380403458213,0.7101015042191513,0.7414965986394557,0.8710360203572874,0.08486066878018522,1.0,1.0,1.0,1.0,1.0,0.0013718501199382034,0.9968671679197995,0.9925127937435622,0.97768039598565,0.9848928558271118,0.9999811439108757,0.005773638531817128,45
p3,1,0.8471177944862155,0.7883771929824561,0.711536109726155,0.7379938048167416,0.8796389497746965,0.12662439474702242,1.0,1.0,1.0,1.0,1.0,0.00029222370381716523,0.9949874686716792,0.9963470319634703,0.9562841530054644,0.9747716398434102,0.9999918236780568,0.004514999935184689,21
p3,2,0.8552631578947368,0.8077679967091732,0.7199485423467323,0.7495147253756674,0.8779127195416787,0.10953024899524237,1.0,1.0,1.0,1.0,1.0,0.00033638162606182577,0.9987468671679198,0.9990791896869244,0.9890710382513661,0.9939834024896266,0.9999959118390284,0.0038032826739135125,21
p3,3,0.8464912280701754,0.7963338861796668,0.6970748158530964,0.7273584899082479,0.8674542102143912,0.08995289216163517,1.0,1.0,1.0,1.0,1.0,0.00014875489915520466,0.9981203007518797,0.9986206896551724,0.983606557377049,0.9909055536520067,1.0,0.004545345277763549,23
p3,4,0.8590225563909775,0.8092277456432038,0.7342334502967987,0.7613596717117177,0.8725576429196339,0.11196429253597023,1.0,1.0,1.0,1.0,1.0,0.0006607334803852652,0.9993734335839599,0.9995904995904996,0.9945355191256832,0.9970403030133711,1.0,0.003680172594491151,22
p3,5,0.8596491228070176,0.8060505200594353,0.7422037422037422,0.7665130568356375,0.8888980348256367,0.08590988210527915,1.0,1.0,1.0,1.0,1.0,0.00035786096332322197,0.9981203007518797,0.9986206896551724,0.983606557377049,0.9909055536520067,1.0,0.001792673578461451,26
p4,1,0.8439849624060151,0.7932515248382637,0.6900758224287636,0.7204323617036993,0.857423730726898,0.1792079126871856,1.0,1.0,1.0,1.0,1.0,0.00015611907014473293,0.9968671679197995,0.9977539522994068,0.9726775956284154,0.9846292993919206,1.0,0.0027419678088120027,20
p4,2,0.831453634085213,0.7636698165127714,0.6723901938834065,0.698875316941788,0.8335810575629581,0.22819252422762198,1.0,1.0,1.0,1.0,1.0,0.0002613023650713386,0.9968671679197995,0.9977539522994068,0.9726775956284154,0.9846292993919206,0.9999923519166347,0.004795310311223767,24
p4,3,0.8408521303258145,0.7670688788335847,0.7248708855043697,0.7419698142414861,0.8638089011392179,0.14910748048400435,1.0,1.0,1.0,1.0,1.0,0.0009909095427608938,0.9974937343358395,0.998211189245672,0.9781420765027322,0.9878046039183063,0.9999959118390284,0.003516753765812818,22
p4,4,0.8477443609022557,0.7842561441523636,0.722751902616156,0.7457023988669558,0.8722330928213282,0.19464327246077961,1.0,1.0,1.0,1.0,1.0,0.0006694692672196326,0.9974937343358395,0.9981634527089073,0.9781420765027322,0.9877797546586758,1.0,0.003352472142826085,20
p4,5,0.8602756892230576,0.8124579861491081,0.7350283628564172,0.7628366208276609,0.8847470861045521,0.11673947449776742,1.0,1.0,1.0,1.0,1.0,0.0008295958295094668,0.9968671679197995,0.9924137931034482,0.97768039598565,0.9848425894200113,0.9999719111117767,0.002204406455808526,24
