Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,num_epochs_trained
n4,1,0.8677944862155389,0.8158664536146972,0.7635981787565498,0.7848390074977558,0.885158653258201,0.0587172746965324,0.806390977443609,0.8164106378362084,0.8301315173622976,0.8061405280440723,0.9640474470793324,1.00408947610523,16
n4,2,0.8671679197994987,0.8225155204190513,0.7502187185445104,0.7772563889876367,0.8795966171531783,0.05267900870504585,0.7393483709273183,0.7499753940077587,0.7570795572497814,0.7331957586086304,0.9376755821617536,1.0162819833826595,16
n4,3,0.87531328320802,0.838680390170905,0.7618766521481454,0.7906355410150752,0.8866402950113357,0.047279231811131674,0.7913533834586466,0.8065149705887955,0.811073015259803,0.7922675067383966,0.9604185076068343,0.998107310784856,16
n4,4,0.8659147869674185,0.8232676969092722,0.744014637679796,0.7727179563621458,0.8674683210882306,0.048454155654087235,0.8088972431077694,0.8276284633019226,0.8367444934339372,0.8121172675292899,0.9702706141551756,0.9342996351124677,16
n4,5,0.8721804511278195,0.8253888323014066,0.7674622063762335,0.7906481481481482,0.8836723078804526,0.05720239364233626,0.7706766917293233,0.7859392061891638,0.799564038192829,0.7651468387285065,0.9524837233256822,1.0085670093729584,16
n3,1,0.8583959899749374,0.81658615136876,0.7219358237457785,0.7531933994411038,0.8770637152990094,0.041088481051832416,0.9122807017543859,0.9144376492733477,0.9272252749664861,0.9151172416820553,0.9926371549237984,0.4346394375505818,17
n3,2,0.8677944862155389,0.8183609937536639,0.7592708441124731,0.7826279761040269,0.8748929925400514,0.053197729515214065,0.9273182957393483,0.9264422538903845,0.9373908880379809,0.9283340582152837,0.9933847687425474,0.4589837497450149,17
n3,3,0.87468671679198,0.8299552513819426,0.7712156988175087,0.7947530864197531,0.8905419516279245,0.05231046340316743,0.9423558897243107,0.9400621534671194,0.9486796849567276,0.9428564402859557,0.9951813512524549,0.40932537922128537,17
n3,4,0.8734335839598998,0.8487117552334944,0.7444567783934299,0.7794029499429335,0.8857630690209876,0.052889852486556664,0.8703007518796992,0.8765383544695581,0.8897522315428439,0.8729782783707056,0.9849461514191318,0.5873568239278941,16
n3,5,0.868421052631579,0.8226508172362555,0.7553409657482055,0.7811059907834101,0.8834865147082342,0.04910553656896411,0.9285714285714286,0.9267637206453556,0.9378982134342382,0.9296353826881734,0.9918799767646487,0.44027696039647507,17
n2,1,0.8659147869674185,0.8295959715173689,0.7364418020526617,0.768275075987842,0.8707538028804996,0.052443376430350803,0.981203007518797,0.9795173775908996,0.9841429866251191,0.9816085260043217,0.999512311761369,0.08395066161807219,17
n2,2,0.8734335839598998,0.8276720418416745,0.7693389525968711,0.7927006172839506,0.8826563249640172,0.056743187996483924,0.9824561403508771,0.9807717370321917,0.9851997927222478,0.982788247996669,0.9994361165694476,0.09155450810358194,17
n2,3,0.8803258145363408,0.8430363644339167,0.775874638996811,0.8022095669173577,0.9018235952625093,0.049999602874342124,0.9874686716791979,0.986208210544505,0.9892504950139681,0.9876428993860734,0.9996379349927893,0.09022735213013897,17
n2,4,0.8671679197994987,0.8375299923655797,0.7329093799682035,0.7671516069093662,0.8743897047064466,0.05463640601170869,0.981829573934837,0.9795490548761197,0.9855222247812068,0.9821868499777044,0.9995152910396506,0.11833176999954967,16
n2,5,0.8690476190476191,0.8366548745372275,0.7405927507737462,0.77337046581608,0.8764052078531717,0.05174912952526218,0.9805764411027569,0.9792333102488204,0.9828910984225355,0.9809241220995638,0.9993843227835988,0.09237463312800526,16
n1,1,0.8602756892230576,0.8088717352225865,0.740437531161513,0.7660111751970846,0.8772565639081475,0.0639901900855493,0.9943609022556391,0.9938922384726712,0.9948698756333487,0.9943731390068347,0.9999362889642092,0.019049400918324997,16
n1,2,0.8677944862155389,0.8257339134134798,0.7484525075022812,0.7768135440449877,0.8850081372705807,0.05073659321541204,0.9949874686716792,0.9943806262190877,0.9956183786273607,0.9949894060168842,0.9999112526334668,0.01898174693793775,18
n1,3,0.8740601503759399,0.8306172502273896,0.7675727415546421,0.7923939387075585,0.8930513353590277,0.05358134637426207,0.993734335839599,0.9934056702545448,0.9941213726393368,0.9937562023380999,0.9998013103340071,0.0204723003155796,17
n1,4,0.8677944862155389,0.8350643149192706,0.7376341708920895,0.7705545089408903,0.8841826511509769,0.059422461078138394,0.993734335839599,0.9924564596279148,0.9951923076923077,0.9937685912774139,0.9999814528188955,0.02433240049181834,16
n1,5,0.868421052631579,0.832833796266391,0.7423589618159754,0.7738754493344991,0.8800599241775712,0.05368522470444142,0.9906015037593985,0.9907193498139057,0.9906465914325195,0.9906679905713649,0.9998180207056485,0.022443935518000783,17
0,1,0.8596491228070176,0.804827675229121,0.7443674095257806,0.7677338877338877,0.8789169433965812,0.07985401393639037,0.9987468671679198,0.9990421455938697,0.9985029940119761,0.998769402800113,1.0,0.005137799805067463,16
0,2,0.8671679197994987,0.8249155332235987,0.7469732175614529,0.7754523445463812,0.883589994449723,0.05666891180064911,0.9987468671679198,0.9987707277752188,0.9987707277752188,0.9987707277752188,0.9999882603642831,0.006889691680201467,18
