Model,Scale,Cluster,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,num_epochs_trained
Resnet18,-0.2,3,2,0.8840852130325815,0.8527607087593134,0.7782593766756662,0.8069104428320586,0.8987474247655244,0.06393717591249083,0.9618441971383148,0.5946745562130178,0.33646616541353386,0.3401762308533296,0.33412916505078943,0.2883509182868776,0.5041710635774375,1.096578692062337,0.3296432964329643,0.3448753462603878,0.32786885245901637,19
Resnet18,-0.2,3,3,0.87531328320802,0.8238749046529367,0.7845951590295481,0.8015579008139397,0.9011439215059124,0.07980468065706117,0.9419713831478538,0.6272189349112426,0.3433583959899749,0.33847562398943315,0.3544227574785625,0.29394292137691674,0.5187756716642011,1.0966173287827607,0.3247232472324723,0.36149584487534625,0.3770491803278688,12
Resnet18,-0.2,3,4,0.8778195488721805,0.8230612944597528,0.7991669880810153,0.8101167353159566,0.8998386656757698,0.07633512627841252,0.9356120826709062,0.6627218934911243,0.30639097744360905,0.31183082819596825,0.33099784973600155,0.264206317602185,0.4959100321727398,1.0965405409015703,0.35301353013530135,0.24653739612188366,0.39344262295081966,19
Resnet18,-0.2,3,5,0.8853383458646616,0.8362664990571966,0.8082637980828027,0.8209673237229882,0.9245397503316056,0.08249341234702197,0.9419713831478538,0.6745562130177515,0.3176691729323308,0.3157303095368747,0.3313695550106584,0.27302200801249293,0.4989530341172233,1.0964838851793726,0.3038130381303813,0.3296398891966759,0.36065573770491804,16
Resnet18,-0.3,3,1,0.8859649122807017,0.8430162893876096,0.7989247514134392,0.8178447800130437,0.9032558489572065,0.07007660320498357,0.9499205087440381,0.6479289940828402,0.34774436090225563,0.3303290205491482,0.3469771269621329,0.2935945107538386,0.5193633286780356,1.0966102651912268,0.34071340713407133,0.3559556786703601,0.3442622950819672,18
Resnet18,-0.3,3,2,0.8715538847117794,0.8164673583551968,0.7811285876896736,0.796562112351586,0.8945047553644838,0.07021690204334184,0.9379968203497615,0.6242603550295858,0.3132832080200501,0.3277039313763301,0.3380917156885115,0.2738874128458735,0.4953384845216144,1.0967350273113952,0.3050430504305043,0.3157894736842105,0.39344262295081966,21
Resnet18,-0.3,3,3,0.881578947368421,0.8398699585111062,0.7853242208445829,0.8077592497586188,0.8932935720266036,0.0795340103157505,0.9523052464228935,0.6183431952662722,0.38095238095238093,0.35580316432601583,0.3607688002314835,0.31726468855533496,0.508366696094333,1.096188250499506,0.35670356703567035,0.41412742382271467,0.3114754098360656,10
Resnet18,-0.3,3,4,0.8822055137844611,0.8299133606931144,0.8062765166837564,0.8171455873319227,0.9123973433928185,0.07632863129130131,0.9379968203497615,0.6745562130177515,0.36403508771929827,0.35559245608816065,0.3817210598426315,0.3108921704647863,0.5601150454620433,1.0966723993479417,0.3948339483394834,0.32409972299168976,0.4262295081967213,13
Resnet18,-0.3,3,5,0.8884711779448622,0.8559419622293873,0.7907780735835035,0.8168606225325745,0.9065907188079133,0.07106631715584703,0.9602543720190779,0.621301775147929,0.3533834586466165,0.3606161045603305,0.3802188782525399,0.3067364028256128,0.5539282487862115,1.0966174360572363,0.3628536285362854,0.33518005540166207,0.4426229508196721,18
Resnet18,-0.4,3,1,0.8784461152882206,0.8319499341238472,0.7844187731065559,0.804393477255555,0.8996928533127628,0.08393964349717194,0.9475357710651828,0.621301775147929,0.35213032581453635,0.3372686724853817,0.3500538613305846,0.29742987568267326,0.506093653742302,1.0963640085818291,0.34440344403444034,0.36149584487534625,0.3442622950819672,15
Resnet18,-0.4,3,2,0.8709273182957393,0.8121130030959752,0.7883039670369987,0.7991717060656038,0.9115600982116818,0.08007131001489783,0.931637519872814,0.6449704142011834,0.36716791979949875,0.37172498949188776,0.3962054726582414,0.3183448781800882,0.5373420567182438,1.0964636961564551,0.34317343173431736,0.3864265927977839,0.45901639344262296,18
Resnet18,-0.4,3,3,0.8740601503759399,0.8117947139796655,0.8097642543343901,0.8107718634071989,0.9121504031006293,0.08714053363852856,0.9213036565977742,0.6982248520710059,0.3358395989974937,0.3330308349940006,0.28843557565042977,0.28054979290174975,0.47155633739750596,1.0961975032468472,0.33456334563345635,0.35041551246537395,0.18032786885245902,11
Resnet18,-0.4,3,4,0.87468671679198,0.8165738078121256,0.7982615403429882,0.806814743085396,0.9006500409215342,0.07220850036146248,0.9308426073131956,0.665680473372781,0.3276942355889724,0.3233768865087743,0.29119909563384266,0.27400939834273363,0.4908187786571101,1.0966410589956874,0.3640836408364084,0.296398891966759,0.21311475409836064,17
Resnet18,-0.4,3,5,0.8834586466165414,0.8362412208903205,0.7994985936162406,0.8156393771674433,0.9139542431397636,0.0739020898138721,0.9451510333863276,0.6538461538461539,0.29197994987468673,0.31224032952376096,0.30315852293439605,0.25561023325900806,0.48835615418521394,1.0967054301623245,0.2865928659286593,0.2950138504155125,0.32786885245901637,23
Resnet18,-0.5,3,1,0.8790726817042607,0.8333700364737457,0.7848162293863651,0.8051598840427168,0.9111250129349676,0.08194983039101471,0.9483306836248012,0.621301775147929,0.35526315789473684,0.34692557657345685,0.3270382036275747,0.29821989773529817,0.4905345643263337,1.096297033778507,0.35178351783517836,0.3670360110803324,0.26229508196721313,15
Resnet18,-0.5,3,2,0.8771929824561403,0.8197636471518988,0.8041787001063019,0.811539824032504,0.9005253948692863,0.06937441286253695,0.9308426073131956,0.6775147928994083,0.31641604010025065,0.3352972126329868,0.3202338875938598,0.27510723157762657,0.504207216414045,1.0966976010883849,0.3087330873308733,0.32409972299168976,0.32786885245901637,15
Resnet18,-0.5,3,3,0.8828320802005013,0.8386076207738342,0.7926101353703163,0.8121496121225473,0.9064825354418115,0.07863508145495945,0.9491255961844197,0.636094674556213,0.33521303258145363,0.3319144805691639,0.3231485268851145,0.28450477813301245,0.5037579813028658,1.0962320018239933,0.33087330873308735,0.34349030470914127,0.29508196721311475,11
Resnet18,-0.5,3,4,0.8696741854636592,0.8055656168979717,0.8015728920706297,0.8035390060009232,0.8940414483400909,0.08777625056202171,0.9197138314785374,0.6834319526627219,0.31704260651629074,0.32000503665002483,0.29511312573731524,0.2693830093886316,0.48865672889479556,1.0966857049806393,0.32226322263222634,0.3171745152354571,0.2459016393442623,16
Resnet18,-0.5,3,5,0.8847117794486216,0.845081280375398,0.7905570032266864,0.8130804953560371,0.9114636739071128,0.0631770653581649,0.9538950715421304,0.6272189349112426,0.3283208020050125,0.3322194497627811,0.3185868053676223,0.28090823795871367,0.49240638609682574,1.096778312793146,0.31857318573185733,0.34210526315789475,0.29508196721311475,18
Resnet18,-0.6,3,1,0.8847117794486216,0.845081280375398,0.7905570032266864,0.8130804953560371,0.9161625948956265,0.07204135003019457,0.9538950715421304,0.6272189349112426,0.34962406015037595,0.3457701475846011,0.34763869867480296,0.29778276363317757,0.5163165576282758,1.096613570826671,0.35793357933579334,0.3407202216066482,0.3442622950819672,17
Resnet18,-0.6,3,2,0.8872180451127819,0.8458586626139817,0.7997196639730576,0.8194038970738,0.9064989981279574,0.07185683008271251,0.951510333863275,0.6479289940828402,0.32393483709273185,0.33307825173584277,0.3514598490065551,0.2819888805400349,0.5110868262032411,1.0967327057827783,0.29274292742927427,0.3518005540166205,0.4098360655737705,14
Resnet18,-0.6,3,3,0.8690476190476191,0.8081373858072887,0.7881934318585901,0.7974244131141767,0.9037473777292782,0.07512817883702314,0.9284578696343402,0.6479289940828402,0.35463659147869675,0.35688959647903346,0.3630947417053299,0.3046651955545603,0.5124126186616196,1.0964708124477418,0.3161131611316113,0.3961218836565097,0.3770491803278688,20
Resnet18,-0.6,3,4,0.8865914786967418,0.8430968726163234,0.8014858750152868,0.8195074374237341,0.8998222029896237,0.06599991917610154,0.9491255961844197,0.6538461538461539,0.31954887218045114,0.33304749640126796,0.32708000278313487,0.2772534766762364,0.49193263657627967,1.0969405425528638,0.3198031980319803,0.3171745152354571,0.3442622950819672,19
Resnet18,-0.6,3,5,0.8872180451127819,0.8480183751670218,0.7964741629900001,0.8180574555403557,0.9219151277974807,0.058660480853457195,0.9538950715421304,0.6390532544378699,0.31140350877192985,0.31572100192990055,0.30756837108355645,0.2661391235070695,0.49039940040986235,1.0967333787343772,0.28413284132841327,0.34349030470914127,0.29508196721311475,18
Resnet18,-0.7,3,1,0.8677944862155389,0.8135998898905787,0.7679255134006265,0.7869882670104312,0.8936016594387635,0.06805087140123077,0.9411764705882353,0.5946745562130178,0.3333333333333333,0.3165592558198192,0.32630119793773205,0.2803517065472058,0.50334428670354,1.09658470320818,0.3419434194341943,0.3254847645429363,0.3114754098360656,17
Resnet18,-0.7,3,2,0.881578947368421,0.8445308799469957,0.7788332188784677,0.8047883304265102,0.8932347767189397,0.06537507199167537,0.9570747217806042,0.6005917159763313,0.31641604010025065,0.3358983074683893,0.34519621296299247,0.2779854578098799,0.5066329711451149,1.0967005475027236,0.30996309963099633,0.3157894736842105,0.4098360655737705,13
Resnet18,-0.7,3,3,0.8665413533834586,0.8063350984829045,0.7779489374511999,0.7906330930377934,0.8981288981288982,0.07361756098691329,0.931637519872814,0.6242603550295858,0.32957393483709274,0.33323269547718626,0.33348503913266736,0.2829110022000066,0.49621713188936306,1.0963124775310278,0.34317343173431736,0.31301939058171746,0.3442622950819672,18
Resnet18,-0.7,3,4,0.8771929824561403,0.8285334346504559,0.7847056942079567,0.8033509101470266,0.893561678629552,0.05930915019833667,0.9451510333863276,0.6242603550295858,0.32894736842105265,0.33230331093027415,0.34359739991750765,0.2838429029238328,0.4826143391480246,1.0968866277038536,0.3296432964329643,0.32409972299168976,0.3770491803278688,16
Resnet18,-0.7,3,5,0.8790726817042607,0.8327238937713999,0.7858980630473843,0.8056427875105294,0.9023598084684057,0.06830225873913918,0.9475357710651828,0.6242603550295858,0.33270676691729323,0.3382163358045265,0.36648203728302214,0.28983368514416286,0.509442177978715,1.097034742408649,0.32718327183271834,0.3296398891966759,0.4426229508196721,14
Resnet18,-0.8,3,1,0.8740601503759399,0.8217391304347825,0.7827184128089105,0.7995635078572959,0.897973678516665,0.07335946198520188,0.9411764705882353,0.6242603550295858,0.34649122807017546,0.326087683217083,0.3204196471373006,0.2878129418503567,0.49717837256671854,1.0966102085795162,0.35547355473554737,0.34349030470914127,0.26229508196721313,13
Resnet18,-0.8,3,2,0.8834586466165414,0.8421228007819441,0.789762090667068,0.8115223933664335,0.9115436355255361,0.06675056560249082,0.9523052464228935,0.6272189349112426,0.30889724310776945,0.3157081092205373,0.32692140803611386,0.2664623876055699,0.48624149577277126,1.0964891095966027,0.25584255842558423,0.36426592797783935,0.36065573770491804,12
Resnet18,-0.8,3,3,0.8765664160401002,0.8233731549394859,0.7918810735552817,0.8059001868695006,0.9009369620229349,0.07186645200432103,0.93879173290938,0.6449704142011834,0.31954887218045114,0.32736891862090534,0.33239286164261667,0.27671667012684836,0.4881714382209037,1.0962336022590367,0.3124231242312423,0.32409972299168976,0.36065573770491804,17
Resnet18,-0.8,3,4,0.8809523809523809,0.8237331529877784,0.8152181070733107,0.8193485969193228,0.9109792005719608,0.07766621564724022,0.9292527821939587,0.7011834319526628,0.3182957393483709,0.3158572171686777,0.32481305490589985,0.2716489654301486,0.49923275853101673,1.0967302140056983,0.35178351783517836,0.278393351800554,0.3442622950819672,17
Resnet18,-0.8,3,5,0.8884711779448622,0.8416666666666667,0.8124147468038871,0.8256542690425983,0.9118423156884694,0.062110212010142135,0.9443561208267091,0.6804733727810651,0.32644110275689225,0.3396717652981245,0.3521696898999778,0.2849757205016827,0.5198523445438021,1.0969839418937977,0.3198031980319803,0.3268698060941828,0.4098360655737705,16
Resnet18,-0.9,3,1,0.8728070175438597,0.8180866611367855,0.7840871675713305,0.7990307215250412,0.9001914375217542,0.07337931259355093,0.9379968203497615,0.6301775147928994,0.3483709273182957,0.3372220764380131,0.31205747005928347,0.2904211266885643,0.4877775173947813,1.0967549852223144,0.34932349323493234,0.3573407202216066,0.22950819672131148,14
Resnet18,-0.9,3,2,0.8740601503759399,0.8228366913386467,0.7805547454868722,0.7985818933663678,0.8984840217871893,0.08437047572241199,0.9427662957074722,0.6183431952662722,0.31641604010025065,0.32970744713051026,0.3416403522829106,0.2760042338042407,0.5177812468090441,1.0960789356948835,0.27552275522755226,0.3559556786703601,0.39344262295081966,15
Resnet18,-0.9,3,3,0.8822055137844611,0.8341342345672493,0.797621847395603,0.8136570048789212,0.9083122454163178,0.06443946146284749,0.9443561208267091,0.650887573964497,0.31140350877192985,0.3252926232750942,0.3012736603002922,0.26823371975532834,0.49264711300651837,1.0965629442830622,0.3148831488314883,0.31024930747922436,0.2786885245901639,14
Resnet18,-0.9,3,4,0.8709273182957393,0.8092378526645768,0.7969586363251522,0.8028178474869436,0.9078418829550051,0.10364108918891365,0.9252782193958664,0.6686390532544378,0.3132832080200501,0.3190135930528462,0.33648974676023496,0.2708298556475337,0.4928464898952505,1.0964306339838805,0.34317343173431736,0.27285318559556787,0.39344262295081966,14
Resnet18,-0.9,3,5,0.8847117794486216,0.837173579109063,0.8035390071589167,0.8184928797468354,0.9096386675572196,0.0751609921541563,0.9443561208267091,0.6627218934911243,0.32644110275689225,0.332588620524812,0.32173947642023987,0.2801226551226551,0.49368710879587896,1.096694828468001,0.3296432964329643,0.32409972299168976,0.3114754098360656,16
Resnet18,-1.0,3,1,0.8840852130325815,0.8421567682884867,0.7923232142689156,0.8132361582792881,0.9083851515978212,0.08438566222562185,0.951510333863275,0.6331360946745562,0.3684210526315789,0.3448262655406522,0.33121392995865384,0.3043968209955397,0.5112787614707338,1.0965053226843575,0.3640836408364084,0.38365650969529086,0.2459016393442623,15
Resnet18,-1.0,3,2,0.8765664160401002,0.8337466098411468,0.7734899013179557,0.7975723776676258,0.9069364352169782,0.07025316538302956,0.9523052464228935,0.5946745562130178,0.33145363408521306,0.3414382566623226,0.3524106261906359,0.28721612881629516,0.5221312298538431,1.096646480274462,0.2829028290282903,0.3808864265927978,0.39344262295081966,13
Resnet18,-1.0,3,3,0.8759398496240601,0.8246676987135002,0.7860744489703766,0.8027947519769949,0.9065037017525704,0.07679073202733244,0.9419713831478538,0.6301775147928994,0.32205513784461154,0.32668998040847047,0.36487650285884815,0.2817289422353137,0.5308322085309918,1.0962718664887503,0.2976629766297663,0.3379501385041551,0.45901639344262296,11
Resnet18,-1.0,3,4,0.8790726817042607,0.8250879353912967,0.8010437343016528,0.8120642559793827,0.8943565911891703,0.06899345252429416,0.9364069952305246,0.665680473372781,0.3302005012531328,0.3429733264310819,0.3696897919889694,0.2895727554036987,0.5150290059090095,1.0966768832019032,0.32595325953259535,0.32409972299168976,0.45901639344262296,18
Resnet18,-1.0,3,5,0.8847117794486216,0.8402127705255926,0.7981298388538207,0.8162923667846911,0.9020964054900706,0.06580136279056031,0.9483306836248012,0.6479289940828402,0.3201754385964912,0.3276889282579535,0.3174327297516652,0.27521521845234354,0.4907629613399027,1.0967545542716775,0.32226322263222634,0.3185595567867036,0.3114754098360656,17
Resnet18,-1.1,3,1,0.87531328320802,0.8198886594235432,0.7932498283177016,0.805314193556692,0.9027219875636167,0.07896871417362025,0.9356120826709062,0.650887573964497,0.33270676691729323,0.3244759718305818,0.3153171525357686,0.280124033006314,0.5041197496028137,1.096648763437636,0.35424354243542433,0.31301939058171746,0.2786885245901639,12
Resnet18,-1.1,3,2,0.8665413533834586,0.8224724778368115,0.7476575949426628,0.7753044264528295,0.8933382564604285,0.07638704083875612,0.9538950715421304,0.5414201183431953,0.3026315789473684,0.3267074149122315,0.34659513481288945,0.26893830126797774,0.5201191180057023,1.0967927923630294,0.2730627306273063,0.32409972299168976,0.4426229508196721,10
Resnet18,-1.1,3,3,0.87531328320802,0.820813990559949,0.7910861609956632,0.804394298190239,0.9103536184984148,0.07113255524509621,0.9372019077901431,0.6449704142011834,0.35651629072681706,0.3429581796147072,0.33703698986946734,0.29907935841778605,0.5144920401325763,1.0967988938434943,0.37392373923739236,0.34210526315789475,0.29508196721311475,14
Resnet18,-1.1,3,4,0.8778195488721805,0.8345675687169528,0.7775303148606316,0.8006491297856027,0.902402141089924,0.07390024058122377,0.951510333863275,0.6035502958579881,0.3233082706766917,0.3334139609607069,0.33913221676152094,0.28023295888115834,0.5076312163133828,1.0964826530398586,0.3370233702337023,0.3033240997229917,0.3770491803278688,15
Resnet18,-1.1,3,5,0.8809523809523809,0.8293518518518519,0.8011542694800613,0.8139006242589533,0.9134462516815457,0.07100084468425003,0.9395866454689984,0.6627218934911243,0.32456140350877194,0.3390346675404603,0.34598855365966125,0.28330198322721606,0.5080298052209893,1.096679254805787,0.3148831488314883,0.3296398891966759,0.39344262295081966,14
Resnet18,-1.2,3,1,0.8759398496240601,0.8235993029518931,0.788238116292415,0.8037451434363108,0.907260985315284,0.08421123573510371,0.9403815580286169,0.636094674556213,0.32706766917293234,0.3149307318403189,0.3139525544022526,0.27473077011964203,0.48568290354679117,1.0966157131877448,0.2878228782287823,0.37534626038781166,0.2786885245901639,12
Resnet18,-1.2,3,2,0.8734335839598998,0.8209378220542769,0.7812391228680822,0.7983209678831934,0.8943471839399442,0.06676194152001365,0.9411764705882353,0.621301775147929,0.32706766917293234,0.3307680051889487,0.35846099344695365,0.28423507128660064,0.5095944241460122,1.0967340923453166,0.3001230012300123,0.3490304709141274,0.4262295081967213,19
Resnet18,-1.2,3,3,0.8790726817042607,0.8233361306243603,0.8053710689457296,0.8137893387160249,0.9192622835156772,0.07526232704751798,0.9332273449920508,0.6775147928994083,0.37030075187969924,0.36366882935510386,0.35766464971311535,0.3138172555773573,0.5240273289556989,1.0964815745639533,0.3628536285362854,0.38227146814404434,0.32786885245901637,13
Resnet18,-1.2,3,4,0.8853383458646616,0.847350800213052,0.7898726258454765,0.8133911771189066,0.9077971985211805,0.06981229084826265,0.9554848966613673,0.6242603550295858,0.33709273182957394,0.33974086914898344,0.3182905340701379,0.28630974531096715,0.4970029883044876,1.0965319680587473,0.36039360393603936,0.3157894736842105,0.2786885245901639,16
Resnet18,-1.2,3,5,0.8778195488721805,0.829315454041108,0.7861849841487851,0.8045943741614014,0.9144504755364484,0.06716350338108486,0.9451510333863276,0.6272189349112426,0.3076441102756892,0.3228676515846283,0.3291404963457018,0.26861141914965986,0.500645030319964,1.096817891023523,0.3001230012300123,0.31024930747922436,0.3770491803278688,14
Resnet18,-1.3,3,1,0.8721804511278195,0.8187961611130197,0.7793623766474446,0.796324145783027,0.8998316102388499,0.07207605995146817,0.9403815580286169,0.6183431952662722,0.34461152882205515,0.3288376901205989,0.3438935781211043,0.29101647750062165,0.5171035075554672,1.0966458400539016,0.3591635916359164,0.32825484764542934,0.3442622950819672,19
Resnet18,-1.3,3,2,0.87531328320802,0.8185839589814088,0.7964953293007592,0.8066708667744085,0.9023880302160846,0.07743510640377019,0.9332273449920508,0.6597633136094675,0.35150375939849626,0.3497896904932649,0.4009637712289207,0.30612595916938806,0.5539383332157746,1.096572835202388,0.3124231242312423,0.38227146814404434,0.5081967213114754,18
Resnet18,-1.3,3,3,0.8734335839598998,0.817037037037037,0.7898937921562356,0.8021469794753082,0.9080794159979679,0.07844013462749357,0.9348171701112877,0.6449704142011834,0.34461152882205515,0.33042683420690294,0.3235723181899182,0.28840184747090897,0.485898187252086,1.096740609147739,0.36654366543665434,0.3254847645429363,0.2786885245901639,14
Resnet18,-1.3,3,4,0.8809523809523809,0.8248726489028213,0.8119726060902531,0.8181329661287343,0.9089731046744622,0.08201417020166646,0.931637519872814,0.6923076923076923,0.33458646616541354,0.33035443571623996,0.33697177760116004,0.28531235318051634,0.482136720249273,1.0966985543678136,0.34809348093480935,0.3185595567867036,0.3442622950819672,17
Resnet18,-1.3,3,5,0.8784461152882206,0.825736031685298,0.7963189433777669,0.809534354976821,0.9147279893886229,0.07064030418229451,0.93879173290938,0.6538461538461539,0.30451127819548873,0.3257473481195757,0.3214158820667268,0.26681871436016286,0.4663122676337008,1.0967731948544328,0.30996309963099633,0.29362880886426596,0.36065573770491804,14
