norm,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
1,1,0.9070247933884298,0.856517188496972,0.8659230152780291,0.8610850278403973,0.9384196905330219,0.06849868557876648,14,0.9364664926022629,0.7953795379537953
1,2,0.8787878787878788,0.8104530273973596,0.8687364820032917,0.8330493681338782,0.924385388930538,0.1099600980024387,14,0.8859878154917319,0.8514851485148515
1,3,0.890495867768595,0.8271047513198111,0.8651991831036889,0.8436149264468302,0.9280447627008133,0.09212300076310624,10,0.9086161879895561,0.8217821782178217
1,4,0.8884297520661157,0.8245417918442441,0.860248688054184,0.8401467889908257,0.9346224439676344,0.08939177923037686,12,0.9086161879895561,0.8118811881188119
1,5,0.8856749311294766,0.8203675990944324,0.859723048022818,0.8372549019607843,0.93097743194685,0.10933559999822268,11,0.9042645778938208,0.8151815181518152
5,1,0.8712121212121212,0.800642174432497,0.8469396548009892,0.8195344200189423,0.9316667959224121,0.09526967553851308,12,0.8885987815491732,0.8052805280528053
5,2,0.8863636363636364,0.8209919407978103,0.8638032210531759,0.8390930430139663,0.9287111478771898,0.09131224662944816,15,0.9025239338555265,0.8250825082508251
5,3,0.8822314049586777,0.8160227272727273,0.8514722229403098,0.8314487524565626,0.929682002142773,0.0956169628701858,11,0.9042645778938208,0.7986798679867987
5,4,0.8918732782369146,0.8291477272727272,0.866069505122836,0.8452482697993001,0.9333097800641683,0.10383302854899491,10,0.9103568320278503,0.8217821782178217
5,5,0.8870523415977961,0.8215510963973905,0.8690983980904619,0.8412378392217101,0.930960197847461,0.10423902686492484,10,0.8999129677980853,0.8382838283828383
10,1,0.8877410468319559,0.8225072196374137,0.8695335591000353,0.8420415085197448,0.9397869290845532,0.08260260207877475,14,0.9007832898172323,0.8382838283828383
10,2,0.8911845730027548,0.8277963240090557,0.8680643521271187,0.8450980392156863,0.9312962627855474,0.0629932187597757,16,0.9077458659704091,0.8283828382838284
10,3,0.8994490358126722,0.8451396741634208,0.8550612241380796,0.8499435143422607,0.932861693480053,0.07176667984089441,14,0.9312445604873804,0.7788778877887789
10,4,0.8966942148760331,0.8407065134312595,0.8521055760928573,0.8461951302186317,0.9309400913981738,0.0601708061507558,19,0.9286335944299391,0.7755775577557755
10,5,0.8808539944903582,0.8131159172089837,0.8676119570181562,0.8347411045285738,0.9328099911818858,0.10513096337014223,11,0.8903394255874674,0.8448844884488449
