Model,Scale,Cluster,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,class_PerStain_0_Accuracy,class_PerStain_0_Precision,class_PerStain_0_Recall,class_PerStain_0_F1,class_PerStain_0_AUC,class_PerStain_0_Uncertainty,class_PerStain_0_Acc_class_0,class_PerStain_0_Acc_class_1,class_PerStain_1_Accuracy,class_PerStain_1_Precision,class_PerStain_1_Recall,class_PerStain_1_F1,class_PerStain_1_AUC,class_PerStain_1_Uncertainty,class_PerStain_1_Acc_class_0,class_PerStain_1_Acc_class_1,class_PerStain_2_Accuracy,class_PerStain_2_Precision,class_PerStain_2_Recall,class_PerStain_2_F1,class_PerStain_2_AUC,class_PerStain_2_Uncertainty,class_PerStain_2_Acc_class_0,class_PerStain_2_Acc_class_1,class_PerStain_3_Accuracy,class_PerStain_3_Precision,class_PerStain_3_Recall,class_PerStain_3_F1,class_PerStain_3_AUC,class_PerStain_3_Uncertainty,class_PerStain_3_Acc_class_0,class_PerStain_3_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,num_epochs_trained
Resnet18,0.0,3,1,0.9104683195592287,0.87870434624105,0.8401537281665503,0.8573574708231191,0.9436559843973954,0.0642556117277247,0.9608355091383812,0.7194719471947195,0.9243697478991597,0.881222265097434,0.8851608187134503,0.8831707169262468,0.960233918128655,0.06887212075317461,0.9508771929824561,0.8194444444444444,0.9090909090909091,0.883420085731782,0.8014564275397207,0.8339371980676329,0.9436687530091479,0.05191892617627986,0.9738805970149254,0.6290322580645161,0.9032258064516129,0.8758169934640523,0.8249143835616438,0.8466119943189627,0.930179794520548,0.06725217732535131,0.9623287671232876,0.6875,0.905852417302799,0.8785714285714286,0.8437869603784742,0.8593346425081985,0.9428222945002958,0.06758459418974529,0.9572368421052632,0.7303370786516854,0.19834710743801653,0.36536796536796534,0.307111651112892,0.13307903617129438,,1.037538502622519,0.010443864229765013,0.9108910891089109,,17
Resnet18,0.0,3,2,0.9152892561983471,0.8912721990719441,0.841984851226637,0.8633834093563807,0.9413609768287533,0.05482627515070268,0.9677980852915579,0.7161716171617162,0.9215686274509803,0.8952159650082012,0.852266081871345,0.8713844570252187,0.9519980506822612,0.06233645376301557,0.968421052631579,0.7361111111111112,0.9030303030303031,0.8767482517482518,0.7853273952816562,0.8201757373475921,0.9294655753490612,0.04469916522985575,0.9738805970149254,0.5967741935483871,0.9220430107526881,0.8980160029947124,0.864126712328767,0.8795215706420378,0.9407106164383563,0.054665800732092304,0.9657534246575342,0.7625,0.9134860050890585,0.8921790235081374,0.8526944115907746,0.8701710066070735,0.9454464813719693,0.056659631367005074,0.9638157894736842,0.7415730337078652,0.6342975206611571,0.5370560694301701,0.2688088652207257,0.29307863055160277,,0.9609704791076514,0.7998259355961705,0.006600660066006601,,15
Resnet18,0.0,3,3,0.9022038567493113,0.8602548853016143,0.8349317960516678,0.8466381241687915,0.9343151025285296,0.06461564186927314,0.9503916449086162,0.7194719471947195,0.8907563025210085,0.8312321481335566,0.8277777777777777,0.8294857506766439,0.9296296296296297,0.07785652271473431,0.9333333333333333,0.7222222222222222,0.906060606060606,0.8601253320618487,0.8181872893596533,0.8367770243318708,0.9161651420317766,0.05464892630074727,0.9589552238805971,0.6774193548387096,0.9086021505376344,0.8646404109589041,0.8646404109589041,0.8646404109589041,0.9356164383561644,0.056892522407112775,0.9417808219178082,0.7875,0.9033078880407125,0.8860992039191671,0.8262492607924306,0.8508985623003195,0.9529863985807214,0.06826709763443232,0.9671052631578947,0.6853932584269663,0.19008264462809918,0.3996143649072066,0.3028203603650182,0.10931834201523201,,0.9427059599082573,0.0008703220191470844,0.9075907590759076,,17
Resnet18,0.0,3,4,0.9118457300275482,0.8715377368365959,0.8568191022757629,0.8638676882059095,0.9406400170043114,0.05813323146773379,0.9512619669277633,0.7623762376237624,0.927170868347339,0.8842039919778436,0.8921052631578947,0.888071580165927,0.968615984405458,0.05366013712751648,0.9508771929824561,0.8333333333333334,0.9121212121212121,0.8810007988960709,0.8157197881559942,0.8429577118101708,0.9317525276841598,0.04685067754419341,0.9701492537313433,0.6612903225806451,0.9247311827956989,0.8819320214669052,0.9021404109589042,0.8914411973152124,0.9532106164383563,0.06074196659994644,0.9417808219178082,0.8625,0.8854961832061069,0.8465811965811966,0.8147361028976936,0.8289205111586198,0.9203134240094618,0.06920113987751188,0.944078947368421,0.6853932584269663,0.821625344352617,0.5228314387493477,0.5202486306071861,0.5206109751884814,,1.030873193789624,0.8511749347258486,0.7095709570957096,,14
Resnet18,0.0,3,5,0.9201101928374655,0.8930261224102782,0.8571810183629329,0.8733955711901863,0.9354152125395307,0.06442633879596117,0.9651871192341166,0.7491749174917491,0.9299719887955182,0.8927656850192062,0.8886695906432749,0.8906959940234896,0.9476120857699806,0.0740353412272195,0.9578947368421052,0.8194444444444444,0.9212121212121213,0.9020390070921986,0.8275156475686085,0.8581818181818182,0.9271184400577757,0.052656914256074605,0.9776119402985075,0.6774193548387096,0.9220430107526881,0.8980160029947124,0.864126712328767,0.8795215706420378,0.9303510273972602,0.05955158931266606,0.9657534246575342,0.7625,0.9083969465648855,0.8841032385336183,0.8454316972205795,0.8625340069957248,0.9416765227675932,0.0701945399104373,0.9605263157894737,0.7303370786516854,0.6163911845730028,0.3175990675990676,0.27989613582768197,0.29143488885912106,,1.051623403237172,0.7571801566579635,0.08250825082508251,,18
Resnet18,-0.01,3,1,0.9166666666666666,0.8833924874297545,0.8574352213289214,0.8694879937600981,0.944517689366848,0.05469560643030942,0.959094865100087,0.7557755775577558,0.9299719887955182,0.8898321435462087,0.893859649122807,0.8918247378946731,0.955458089668616,0.05231661834237824,0.9543859649122807,0.8333333333333334,0.9333333333333333,0.9196428571428572,0.8535748675974963,0.8817127215849844,0.9386735676456427,0.05247943354395248,0.9813432835820896,0.7258064516129032,0.9086021505376344,0.8747222222222222,0.8464897260273974,0.8594416785206258,0.9354880136986302,0.05535640648616228,0.9554794520547946,0.7375,0.8982188295165394,0.8627730294396961,0.8388527498521585,0.849885408708938,0.9493273211117681,0.058092090346624825,0.9473684210526315,0.7303370786516854,0.34297520661157027,0.3494558154645874,0.24248377840395005,0.2546735267779358,,1.0971458367436213,0.32811140121845084,0.39933993399339934,,15
Resnet18,-0.01,3,2,0.9042699724517906,0.8750401886185832,0.8216572309972512,0.8443289371486221,0.9395887369415793,0.06518491041291712,0.9634464751958225,0.6798679867986799,0.9131652661064426,0.882559813912273,0.8366228070175439,0.8567805054805688,0.945906432748538,0.07974748071292156,0.9649122807017544,0.7083333333333334,0.9,0.8733084839154039,0.7772628791526239,0.8131274131274131,0.9126745305729418,0.05179749088820308,0.9738805970149254,0.5806451612903226,0.9005376344086021,0.8604709763137399,0.8368150684931507,0.84778209083972,0.9441352739726027,0.05915044773334325,0.9486301369863014,0.725,0.9033078880407125,0.8860992039191671,0.8262492607924306,0.8508985623003195,0.9513971023063277,0.06890967113265124,0.9671052631578947,0.6853932584269663,0.28168044077134985,0.31283509067088233,0.19074413968812023,0.21062405222710567,,1.0960305708206601,0.278503046127067,0.29372937293729373,,17
Resnet18,-0.01,3,3,0.9070247933884298,0.8649249951765388,0.8476979551741075,0.8558760189665453,0.9351107434503241,0.07013806183553184,0.9495213228894691,0.7458745874587459,0.9047619047619048,0.8483096085409252,0.8625,0.8550997994460892,0.9310916179337232,0.0824873925254895,0.9333333333333333,0.7916666666666666,0.906060606060606,0.8690173578328129,0.8057896003851709,0.8321272091763895,0.9118921521425132,0.0529120507906993,0.9664179104477612,0.6451612903225806,0.9193548387096774,0.8805650684931507,0.8805650684931507,0.8805650684931507,0.954152397260274,0.06583878211234674,0.9486301369863014,0.8125,0.8982188295165394,0.8652543739417883,0.8348795091661738,0.8485899214054553,0.9433397397989355,0.0774541041905057,0.9506578947368421,0.7191011235955056,0.31611570247933884,0.3335451332353759,0.21334953338675908,0.23185742133110554,,1.0956142921789431,0.3133159268929504,0.32673267326732675,,15
Resnet18,-0.01,3,4,0.9022038567493113,0.8519418521486614,0.8519418521486614,0.8519418521486614,0.9351796798478803,0.07393483541386944,0.938207136640557,0.7656765676567657,0.9019607843137255,0.8449645390070922,0.8555555555555556,0.8500881834215167,0.9429824561403508,0.08778969678698335,0.9333333333333333,0.7777777777777778,0.9121212121212121,0.8713643484776241,0.8281174771304767,0.8473075388911049,0.9189937409725566,0.06443694499676478,0.9626865671641791,0.6935483870967742,0.9005376344086021,0.8485960237753638,0.864041095890411,0.855927147118857,0.9381849315068493,0.07128162768475439,0.928082191780822,0.8,0.8956743002544529,0.8503300330033003,0.8531009757539918,0.8517022079463982,0.9398654642223535,0.07183588274891695,0.930921052631579,0.7752808988764045,0.3271349862258953,0.33032788768640425,0.21637124547963935,0.24029891676950502,,1.0964860338008642,0.3289817232375979,0.3201320132013201,,17
Resnet18,-0.01,3,5,0.9118457300275482,0.8838317893948521,0.8385940421718412,0.8584105314480741,0.9425415126369034,0.06744112777524482,0.9643167972149695,0.7128712871287128,0.8991596638655462,0.8502811621368322,0.8278508771929824,0.8383152173913043,0.9399122807017545,0.08487329278377306,0.9473684210526315,0.7083333333333334,0.9272727272727272,0.9142287234042553,0.8374458353394318,0.8690909090909091,0.9303683196918633,0.04406880933490251,0.9813432835820896,0.6935483870967742,0.9139784946236559,0.8833333333333333,0.8544520547945205,0.8677098150782361,0.9486729452054794,0.06462177025148469,0.958904109589041,0.75,0.9083969465648855,0.8946942524713498,0.8335119751626257,0.8587460063897764,0.9500665286812537,0.07390011804523755,0.9703947368421053,0.6966292134831461,0.35399449035812675,0.3455539127380669,0.2357854584414055,0.2567866898175428,,1.0967216874097852,0.35422106179286333,0.35313531353135313,,11
