Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,num_epochs_trained
0,1,0.8458646616541353,0.8401920438957476,0.6609768487596542,0.6963094516156978,0.8595779907997101,0.12200772552632516,0.24436090225563908,0.17226658650415524,0.1985857765471924,0.14861965484197606,0.44157601010086384,1.3066338117855254,0
0,2,0.8540100250626567,0.8020831004047367,0.7223991307701715,0.7501516754850088,0.8534797414887912,0.18530650769214116,0.17919799498746866,0.1997973540095638,0.18872541766713102,0.15383950123262313,0.46319338734199866,1.303400320721183,0
0,3,0.8515037593984962,0.7805018348973347,0.7597553174476251,0.7692188013840087,0.8643780397174062,0.1911279998492318,0.2224310776942356,0.26907071223187845,0.2180358635955507,0.21623607779554221,0.5043623075185719,1.3228537071619733,0
0,4,0.8540100250626567,0.8599256902766882,0.6758802833463466,0.7148231851293452,0.8578094279451745,0.13421242780148138,0.2744360902255639,0.29202914296871557,0.27619576434768633,0.21141175800545609,0.5283595779448242,1.3036303389512687,0
0,5,0.8452380952380952,0.8371419542471719,0.660579392479845,0.6956021172845941,0.8260529063696483,0.19227553484375337,0.231203007518797,0.17591298888994011,0.26743309086123457,0.1952637364822481,0.5211260493383839,1.2816058717512142,0
n_1,1,0.8659147869674185,0.812207786369358,0.7613239762561029,0.782055699769513,0.8777128154956209,0.05753172122608534,0.262531328320802,0.258979444616056,0.2566570839822723,0.2555595231564649,0.49836595911007386,1.3841858665834021,16
n_1,2,0.868421052631579,0.8265486725663718,0.7499317974431097,0.7781707759389818,0.8779644594124232,0.04147730703396152,0.2462406015037594,0.24511984627265335,0.24632012520992624,0.24264001194331114,0.4875934912706322,1.384541970221626,17
n_1,3,0.8652882205513784,0.8329056042691434,0.7306351774677566,0.764195902805886,0.871101871101871,0.04472917467031182,0.25125313283208023,0.2489180501363122,0.251380535873244,0.248003091252999,0.4958433181462397,1.3840225642847086,16
n_1,4,0.8759398496240601,0.8352617435488223,0.7687651103940696,0.7946933471933473,0.8847400306676325,0.049993371176642064,0.2568922305764411,0.2642012101596768,0.2672063883576343,0.25700774772118024,0.5126248838960136,1.384417942948701,17
n_1,5,0.868421052631579,0.8348282780597192,0.740195294493937,0.7726063829787234,0.8850410626428725,0.0405391062312958,0.2337092731829574,0.23584326398662034,0.23491997065133052,0.23176393486078783,0.48966210464185367,1.3843530426758623,17
n_5,1,0.8721804511278195,0.8305554226093615,0.7598893707490992,0.7867981214262703,0.8850222481444201,0.05199910585643238,0.2581453634085213,0.2558499250837743,0.2562428106951963,0.2530457140415604,0.5044313848819383,1.3843263321514172,16
n_5,2,0.8740601503759399,0.8389592123769338,0.7567544049444502,0.7868146400624678,0.8738605469374698,0.04014580325580595,0.24812030075187969,0.24659139876325442,0.24789568409184015,0.24348137688324029,0.48147073387802397,1.384468529910146,17
n_5,3,0.8771929824561403,0.8531413509579449,0.7533325180384004,0.7877659574468086,0.8867861073743426,0.04328923186169503,0.24561403508771928,0.2453074288959522,0.24626246604467583,0.24225284679549802,0.4940397097714996,1.3842712627053155,17
n_5,4,0.8715538847117794,0.8476551405546906,0.7389370749099256,0.7745152159844853,0.8761888411209678,0.04713553022570275,0.24310776942355888,0.24911118456721354,0.24831444873457623,0.24225025932547403,0.49992141392603484,1.3844606082308928,17
n_5,5,0.8659147869674185,0.8305893234672305,0.7353599683916426,0.7676211004155746,0.8724682740519845,0.04684025915823929,0.2286967418546366,0.2362626362160078,0.2331904851474583,0.2278598547717008,0.4857275717648002,1.3843588080191755,16
n1,1,0.8583959899749374,0.8049322493224933,0.7381633286610663,0.7631786284561728,0.8641287476129105,0.051438733932224465,0.24310776942355888,0.24003101733816395,0.24060303227774738,0.237709422799766,0.4970351620679886,1.3843350122964047,16
n1,2,0.8696741854636592,0.8250222882615156,0.7572177119688432,0.783190695633092,0.879290881553325,0.047445723004775085,0.24310776942355888,0.24478841475750307,0.2440125260098217,0.2405148133663102,0.48062749876501637,1.3845234233092258,17
n1,3,0.8677944862155389,0.8310657961211598,0.7419615055361661,0.7731144580951386,0.8870142331680793,0.04686684663875179,0.2462406015037594,0.2463749788044231,0.2480558363791897,0.24388992364308196,0.49629566345520093,1.3843552547986298,17
n1,4,0.8596491228070176,0.8212114189115498,0.7216489026443778,0.7539715091872549,0.8862451905438331,0.047834998030243485,0.237468671679198,0.2394823639166595,0.23995946467092882,0.23583470302728787,0.491539467417905,1.3844624409066837,17
