Model,Scale,Cluster,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,class_PerStain_0_Accuracy,class_PerStain_0_Precision,class_PerStain_0_Recall,class_PerStain_0_F1,class_PerStain_0_AUC,class_PerStain_0_Uncertainty,class_PerStain_0_Acc_class_0,class_PerStain_0_Acc_class_1,class_PerStain_1_Accuracy,class_PerStain_1_Precision,class_PerStain_1_Recall,class_PerStain_1_F1,class_PerStain_1_AUC,class_PerStain_1_Uncertainty,class_PerStain_1_Acc_class_0,class_PerStain_1_Acc_class_1,class_PerStain_2_Accuracy,class_PerStain_2_Precision,class_PerStain_2_Recall,class_PerStain_2_F1,class_PerStain_2_AUC,class_PerStain_2_Uncertainty,class_PerStain_2_Acc_class_0,class_PerStain_2_Acc_class_1,class_PerStain_3_Accuracy,class_PerStain_3_Precision,class_PerStain_3_Recall,class_PerStain_3_F1,class_PerStain_3_AUC,class_PerStain_3_Uncertainty,class_PerStain_3_Acc_class_0,class_PerStain_3_Acc_class_1,class_PerScanner_0_Accuracy,class_PerScanner_0_Precision,class_PerScanner_0_Recall,class_PerScanner_0_F1,class_PerScanner_0_AUC,class_PerScanner_0_Uncertainty,class_PerScanner_0_Acc_class_0,class_PerScanner_0_Acc_class_1,class_PerScanner_1_Accuracy,class_PerScanner_1_Precision,class_PerScanner_1_Recall,class_PerScanner_1_F1,class_PerScanner_1_AUC,class_PerScanner_1_Uncertainty,class_PerScanner_1_Acc_class_0,class_PerScanner_1_Acc_class_1,class_PerScanner_2_Accuracy,class_PerScanner_2_Precision,class_PerScanner_2_Recall,class_PerScanner_2_F1,class_PerScanner_2_AUC,class_PerScanner_2_Uncertainty,class_PerScanner_2_Acc_class_0,class_PerScanner_2_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,stain_Acc_class_3,num_epochs_trained
Resnet18,0.0,4,1,0.8916040100250626,0.8477033615601746,0.8154838618639524,0.8299508220447807,0.9095587059387964,0.07818740690372308,0.9475357710651828,0.6834319526627219,0.8922155688622755,0.7997644287396937,0.7905056066608473,0.7950081833060556,0.8683945477741222,0.07371004810518635,0.9395017793594306,0.6415094339622641,0.8653846153846154,0.8059134951553291,0.771618625277162,0.7865653438408856,0.8958980044345899,0.09146315821595864,0.9341463414634147,0.6090909090909091,0.9147465437788018,0.9013332217666583,0.8818736730360934,0.8908710337281766,0.9433121019108279,0.07321305969928818,0.9554140127388535,0.8083333333333333,0.9025974025974026,0.8612405225175848,0.784189723320158,0.8149038461538461,0.9059288537549408,0.06763842587474098,0.9683794466403162,0.6,0.906519065190652,0.872349985505846,0.8437143213928928,0.8568157802042973,0.9258420151277293,0.07250870638827636,0.9544740973312402,0.7329545454545454,0.8781163434903048,0.8289249146757679,0.7968877412340309,0.8111206240487063,0.8980927788348283,0.08627805602091644,0.9399293286219081,0.6538461538461539,0.8524590163934426,0.4482758620689655,0.4727272727272727,0.46017699115044247,0.7393939393939395,0.05811092914051926,0.9454545454545454,0.0,0.29448621553884713,0.3345337491063903,0.23584506207526296,0.17250153648987618,0.5206016976177119,1.3121489079197513,0.023952095808383235,0.775,0.1152073732718894,0.02922077922077922,12
Resnet18,0.0,4,2,0.8765664160401002,0.8260106788710908,0.7864719052501858,0.8035522937705836,0.8991472328576402,0.07499906467607938,0.9427662957074722,0.6301775147928994,0.8832335329341318,0.778878083491461,0.8157859397032163,0.7951725764604136,0.8883368025246761,0.06707118169218841,0.9145907473309609,0.7169811320754716,0.8692307692307693,0.8232542599398597,0.7574279379157427,0.7828223270440251,0.8719955654101995,0.0749481105775171,0.9512195121951219,0.5636363636363636,0.8824884792626728,0.8622852896624653,0.836411889596603,0.8478836069742349,0.9408704883227177,0.07993270301105992,0.9394904458598726,0.7333333333333333,0.8733766233766234,0.8129025332760842,0.7094861660079052,0.7438969788712876,0.8906216313330938,0.07673026600884052,0.9644268774703557,0.45454545454545453,0.8991389913899139,0.8540206751440856,0.8451726844583988,0.8494716401734104,0.9241472812901385,0.07238458240395244,0.9403453689167975,0.75,0.8490304709141274,0.7915849281427554,0.7272583129473589,0.7510147907933244,0.883754643471958,0.08189690427645335,0.941696113074205,0.5128205128205128,0.9016393442622951,0.7076271186440678,0.5742424242424242,0.5986842105263157,0.6454545454545455,0.028201259688689192,0.9818181818181818,0.16666666666666666,0.31203007518796994,0.29231079583181524,0.28796942144199245,0.23865172573207644,0.513432850807941,1.30253985312256,0.15269461077844312,0.65,0.01152073732718894,0.33766233766233766,19
Resnet18,0.0,4,3,0.8728070175438597,0.8201338073464862,0.7797598329272537,0.7970751432270381,0.8958053075700135,0.09016583816731656,0.9411764705882353,0.6183431952662722,0.8922155688622755,0.7934750776079189,0.8364332236621232,0.8122188905547227,0.8947156382192977,0.08535298614623565,0.9181494661921709,0.7547169811320755,0.8519230769230769,0.7970786516853933,0.7198447893569845,0.74686265212581,0.8763858093126385,0.08850707928249008,0.948780487804878,0.4909090909090909,0.8986175115207373,0.8850379659456973,0.8552813163481954,0.8683869544840515,0.9363588110403397,0.0893363715705602,0.9522292993630573,0.7583333333333333,0.8506493506493507,0.7500714898484415,0.6885375494071146,0.7112578462541779,0.8643909450233561,0.09935426575869011,0.9407114624505929,0.43636363636363634,0.8831488314883149,0.8310098070113643,0.8185207649493365,0.8244934317118452,0.9117489653203938,0.09513056820460328,0.9324960753532182,0.7045454545454546,0.8587257617728532,0.8092105263157894,0.7427290024463169,0.7676698845353019,0.8851929872247893,0.08719057219426583,0.9469964664310954,0.5384615384615384,0.9016393442622951,0.7076271186440678,0.5742424242424242,0.5986842105263157,0.7757575757575756,0.05921201049893163,0.9818181818181818,0.16666666666666666,0.3151629072681704,0.23842980665702262,0.2691707534304598,0.2125358650214922,0.5070352207352117,1.2666394749396566,0.041916167664670656,0.7923076923076923,0.018433179723502304,0.22402597402597402,9
Resnet18,0.0,4,4,0.8828320802005013,0.8292975977329491,0.8110013076076424,0.8195782711911744,0.9089260684283309,0.0876705135981865,0.9356120826709062,0.6863905325443787,0.8862275449101796,0.7859237536656891,0.7946014906331833,0.7901455026455027,0.8797421607466596,0.07646748972905983,0.9288256227758007,0.660377358490566,0.8557692307692307,0.7902218528871094,0.7555432372505544,0.7704680685770786,0.8851884700665188,0.10236607951939034,0.9292682926829269,0.5818181818181818,0.9193548387096774,0.8945215317140731,0.9082271762208067,0.9009694433035393,0.9622876857749469,0.08468103792003501,0.9331210191082803,0.8833333333333333,0.8733766233766234,0.8034113060428849,0.7237154150197629,0.7530376858076853,0.8691340280273087,0.07922099456435557,0.9565217391304348,0.4909090909090909,0.8991389913899139,0.8570831297681236,0.8390047452547452,0.8475299606623364,0.9190184815184815,0.07641731439959996,0.945054945054945,0.7329545454545454,0.8656509695290858,0.8049303770991454,0.7889372111986953,0.7964382359181846,0.9045709884932501,0.10387264022400702,0.9240282685512368,0.6538461538461539,0.8688524590163934,0.581140350877193,0.556060606060606,0.5642857142857143,0.7727272727272727,0.045882243509800615,0.9454545454545454,0.16666666666666666,0.18045112781954886,0.1177485826320572,0.21341984628274951,0.13133488813689023,0.4820889194264506,1.2685967665259428,0.0,0.06346153846153846,0.09216589861751152,0.698051948051948,17
Resnet18,0.0,4,5,0.8859649122807017,0.8473102061337355,0.7924337494473241,0.8151122291021672,0.9196550361708733,0.062342128638050075,0.9546899841017488,0.6301775147928994,0.907185628742515,0.8274004364429897,0.8223662123145101,0.8248498688996024,0.900087289330558,0.05234000699892624,0.9466192170818505,0.6981132075471698,0.8634615384615385,0.8155945922672867,0.7437915742793791,0.7704536834971618,0.8926164079822615,0.06777405573855835,0.9512195121951219,0.5363636363636364,0.8963133640552995,0.8852110403895228,0.8485403397027601,0.8642194180832203,0.9568205944798301,0.06292163238493759,0.9554140127388535,0.7416666666666667,0.8863636363636364,0.8392565359477124,0.7387351778656126,0.7743589743589744,0.9180740208408193,0.06320122574536784,0.9683794466403162,0.509090909090909,0.9028290282902829,0.8728420392981322,0.829023654916512,0.8481002778927452,0.9362512487512487,0.060627398410351016,0.9591836734693877,0.6988636363636364,0.8642659279778393,0.8151854928017719,0.7578712512458096,0.7805117133214214,0.906586934855486,0.066896631847473,0.9452296819787986,0.5705128205128205,0.9180327868852459,0.9583333333333333,0.5833333333333334,0.6211180124223603,0.7575757575757576,0.031288429587492284,1.0,0.16666666666666666,0.2349624060150376,0.12299890493820723,0.2594752890532299,0.15464289339965911,0.53483570268074,1.2519445246978165,0.7544910179640718,0.0,0.2834101382488479,0.0,14
Resnet18,-0.01,4,1,0.8822055137844611,0.848736998514116,0.7759851741752195,0.80403774412991,0.9164824413693193,0.0756290314477884,0.9602543720190779,0.591715976331361,0.9011976047904192,0.8209498834498834,0.7958436849526623,0.8075331342658075,0.8747733834687438,0.06905858797830298,0.9501779359430605,0.6415094339622641,0.8711538461538462,0.8423884061607956,0.7420177383592017,0.7759182912161771,0.9121507760532152,0.08332239751022762,0.9658536585365853,0.5181818181818182,0.8824884792626728,0.8705110809588421,0.8261146496815286,0.8442704265782974,0.9470806794055201,0.07565872093498006,0.9522292993630573,0.7,0.8798701298701299,0.8362771739130435,0.7134387351778656,0.7523846772266041,0.9051383399209486,0.06972348771044605,0.9723320158102767,0.45454545454545453,0.9040590405904059,0.8741176470588234,0.8318645640074211,0.8503680981595092,0.9312384044526901,0.06689304577360496,0.9591836734693877,0.7045454545454546,0.8559556786703602,0.8156913183279743,0.7223883301621817,0.7531039562289562,0.8989082178128114,0.08914447342826473,0.9575971731448764,0.48717948717948717,0.9016393442622951,0.45081967213114754,0.5,0.47413793103448276,0.8909090909090909,0.03209144527085772,1.0,0.0,0.2506265664160401,0.2445406216050249,0.24165839351878565,0.24174325666752403,0.48846940943621275,1.3836730815567344,0.20059880239520958,0.325,0.22350230414746544,0.21753246753246752,12
Resnet18,-0.01,4,2,0.8803258145363408,0.82807757924037,0.8007568132002522,0.81314075863984,0.9131334606447729,0.086075219718972,0.93879173290938,0.6627218934911243,0.8892215568862275,0.7919312169312169,0.7963808500637883,0.7941259766438435,0.90116161955281,0.0764259473020459,0.9323843416370107,0.660377358490566,0.8653846153846154,0.8059134951553291,0.771618625277162,0.7865653438408856,0.8896895787139689,0.09209740439226452,0.9341463414634147,0.6090909090909091,0.8986175115207373,0.8810606060606061,0.8604299363057325,0.8698650674662669,0.9568205944798303,0.09109501569218809,0.945859872611465,0.775,0.8701298701298701,0.7881526985519964,0.7359683794466403,0.7573083287369002,0.8853036291771469,0.0792983674617169,0.9446640316205533,0.5272727272727272,0.9003690036900369,0.8563710536954684,0.8459576138147566,0.850992770593626,0.9277954188668475,0.07875352502159812,0.9419152276295133,0.75,0.8601108033240997,0.8026262467809195,0.7621862825043038,0.7792349726775956,0.9016943009875872,0.09606626878069204,0.9346289752650176,0.5897435897435898,0.8524590163934426,0.4482758620689655,0.4727272727272727,0.46017699115044247,0.7787878787878788,0.06540309457803924,0.9454545454545454,0.0,0.25,0.25491134728318526,0.24691854407906177,0.2473279039648662,0.4886005521717173,1.3835878979713707,0.2155688622754491,0.27692307692307694,0.24193548387096775,0.2532467532467532,16
Resnet18,-0.01,4,3,0.8784461152882206,0.8278132755980356,0.7919916087336902,0.8077098880133549,0.9073009661244956,0.07685916525846256,0.9419713831478538,0.6420118343195266,0.8952095808383234,0.8004122938530734,0.8229033774256362,0.8109240299545506,0.8749076747465252,0.07174243600971511,0.9288256227758007,0.7169811320754716,0.8615384615384616,0.8069025775447793,0.7492239467849224,0.7718797982013599,0.8957871396895787,0.0772578181019484,0.9439024390243902,0.5545454545454546,0.8894009216589862,0.8657072368421053,0.8540605095541401,0.859581007845992,0.9492303609341826,0.07490967743418749,0.9331210191082803,0.775,0.8733766233766234,0.8129025332760842,0.7094861660079052,0.7438969788712876,0.8877470355731225,0.08448178151237291,0.9644268774703557,0.45454545454545453,0.9052890528905289,0.8608643081056874,0.8593772299129443,0.8601173118820178,0.934502997002997,0.07254088434698211,0.9403453689167975,0.7784090909090909,0.8462603878116344,0.7863391313192961,0.7231697925160823,0.746446254844578,0.8799039594092598,0.0846914070323992,0.9399293286219081,0.5064102564102564,0.9016393442622951,0.7076271186440678,0.5742424242424242,0.5986842105263157,0.8393939393939394,0.041709719688812735,0.9818181818181818,0.16666666666666666,0.2744360902255639,0.2739154803516087,0.27804381729917754,0.273018872825735,0.535620455168984,1.384257750651939,0.25449101796407186,0.26153846153846155,0.26497695852534564,0.33116883116883117,13
Resnet18,-0.01,4,4,0.8759398496240601,0.8246676987135002,0.7860744489703766,0.8027947519769949,0.8997540004327336,0.09029629281196351,0.9419713831478538,0.6301775147928994,0.9041916167664671,0.8229058407815424,0.8129322500503592,0.8177850518276051,0.8804136171355669,0.08113935100739819,0.9466192170818505,0.6792452830188679,0.8538461538461538,0.7942978059917585,0.7343680709534368,0.7572720125786163,0.8792461197339245,0.1004385455232327,0.9414634146341463,0.5272727272727272,0.8986175115207373,0.8792701863354038,0.8630042462845011,0.87058121882455,0.9409766454352441,0.08413450325078395,0.9426751592356688,0.7833333333333333,0.8506493506493507,0.7486982734995888,0.6956521739130435,0.7161858974358974,0.8738771110312613,0.0917854610665634,0.9367588932806324,0.45454545454545453,0.8892988929889298,0.8427774933151277,0.8224454117311261,0.831926017126686,0.9085468103325246,0.07839639132700603,0.9403453689167975,0.7045454545454546,0.8601108033240997,0.8058620736457782,0.7552210745673643,0.7756487762856308,0.8912748029355804,0.10835652707063365,0.9399293286219081,0.5705128205128205,0.8852459016393442,0.45,0.4909090909090909,0.46956521739130436,0.8515151515151514,0.035134502197383025,0.9818181818181818,0.0,0.21929824561403508,0.2253146622585856,0.22912157260356025,0.21921856709241885,0.470372779379899,1.3825599130258863,0.2754491017964072,0.17884615384615385,0.17972350230414746,0.2824675324675325,14
Resnet18,-0.01,4,5,0.8853383458646616,0.8332719091386751,0.8147548000489178,0.8234375595079407,0.9195586118663042,0.07306247612449839,0.9372019077901431,0.6923076923076923,0.8832335329341318,0.7791362530413626,0.8081313368696703,0.7922984931834489,0.9151279124420868,0.04984623168815722,0.9181494661921709,0.6981132075471698,0.8634615384615385,0.8046953046953047,0.7637472283813748,0.7810708080574482,0.901219512195122,0.07477924936755632,0.9365853658536586,0.5909090909090909,0.9101382488479263,0.8952807296460548,0.8761146496815286,0.8849721706864564,0.9576698513800425,0.07678595499555145,0.9522292993630573,0.8,0.8896103896103896,0.8159761959258411,0.7976284584980238,0.8062893081761007,0.8939274164570608,0.09009336484303988,0.9407114624505929,0.6545454545454545,0.9003690036900369,0.8511521784740192,0.8582934922220636,0.8546397282317182,0.931898458684173,0.07020533234367124,0.9324960753532182,0.7840909090909091,0.868421052631579,0.8167836647188779,0.7744518437981336,0.7923497267759563,0.917085711697019,0.08062245793602481,0.9399293286219081,0.6089743589743589,0.8852459016393442,0.6235632183908046,0.5651515151515152,0.5801376597836775,0.8151515151515152,0.021661673270242467,0.9636363636363636,0.16666666666666666,0.26127819548872183,0.25792589016486384,0.26364548866239035,0.256891215838404,0.5139958880563855,1.3841129925441833,0.2844311377245509,0.3,0.16820276497695852,0.30194805194805197,19
