Model,Fold,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,stain_Acc_class_3,num_epochs_trained
regnety_016,4,1.0,1.0,1.0,1.0,1.0,0.0003975488580067159,1.0,1.0,1.0,1.0,23
regnety_016,5,1.0,1.0,1.0,1.0,1.0,0.0013379231629426919,1.0,1.0,1.0,1.0,11
resnext101_32x8d,1,1.0,1.0,1.0,1.0,1.0,0.00013944254560871694,1.0,1.0,1.0,1.0,29
resnext101_32x8d,2,1.0,1.0,1.0,1.0,1.0,8.088226898574853e-05,1.0,1.0,1.0,1.0,23
resnext101_32x8d,3,1.0,1.0,1.0,1.0,1.0,0.0010059967561960059,1.0,1.0,1.0,1.0,17
resnext101_32x8d,4,1.0,1.0,1.0,1.0,1.0,0.0003683429993824646,1.0,1.0,1.0,1.0,14
resnext101_32x8d,5,1.0,1.0,1.0,1.0,1.0,0.0006652456554450867,1.0,1.0,1.0,1.0,16
Vision,1,0.9993734335839599,0.9995201535508638,0.999251497005988,0.9993850337079299,0.9999989600798942,0.00044181823544958037,0.9970059880239521,1.0,1.0,1.0,34
Vision,2,1.0,1.0,1.0,1.0,1.0,0.0017661901956675726,1.0,1.0,1.0,1.0,24
Vision,3,0.9962406015037594,0.997148288973384,0.9955089820359282,0.9963001045559836,0.9999976275657876,0.004213070358988197,0.9820359281437125,1.0,1.0,1.0,27
Vision,4,0.9956140350877193,0.9963829787234042,0.9950282128051589,0.9956858415062749,0.999986034227071,0.0026452756198112938,0.9820359281437125,0.9980769230769231,1.0,1.0,27
Vision,5,0.9993734335839599,0.9994252873563219,0.9991883116883117,0.9993058089384116,1.0,0.0005593470659730551,1.0,1.0,1.0,0.9967532467532467,45
