Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
n4,1,0.8640350877192983,0.8335002764996191,0.7255129302640615,0.7599276314193323,0.8830725957422788,0.045662333176564984,0.8107769423558897,0.5436993121645332,0.557882130067838,0.5474944789329271,0.8751909539553385,0.5743321378812627,16
n4,2,0.8703007518796992,0.8209928695972668,0.7662698375368059,0.7883813839262552,0.8836346788835477,0.05098652078342782,0.8264411027568922,0.5533268359141321,0.569269113743769,0.5588400415533895,0.8959725294874544,0.5239120313448726,17
n4,3,0.8721804511278195,0.839546783625731,0.7490710341389074,0.7809456400926855,0.8843731479478087,0.04729537442602589,0.8333333333333334,0.5558171149588298,0.5749160400191259,0.5642297297074456,0.8748181928781041,0.49852853122401963,17
n4,4,0.8665413533834586,0.8194515254783052,0.7519849295867396,0.7776860774228567,0.8823552929887772,0.045794365031960924,0.7919799498746867,0.5310527009942448,0.5442900966405786,0.5336716277250257,0.8264869587571867,0.5580631589212822,17
n4,5,0.8640350877192983,0.8207674310958848,0.7395767678573109,0.7685860732825468,0.8812828665769842,0.04576215983749936,0.7738095238095238,0.5240474638871073,0.5304362738918248,0.5194815305080006,0.8305929870651806,0.5645776795072056,16
n3,1,0.8715538847117794,0.852773720820853,0.7346097402658489,0.7718713895150646,0.880551452949643,0.0501239872785245,0.893483709273183,0.5952285584885112,0.6192890460760564,0.6067394305501529,0.9299198636769125,0.3261493750838243,16
n3,2,0.8677944862155389,0.8330176138794627,0.7397978382141278,0.7718441372609995,0.8817955616598152,0.046035398822073616,0.9078947368421053,0.6043905406249394,0.6285641111258758,0.6162306730601845,0.9554124942211333,0.29663898800489413,17
n3,3,0.8677944862155389,0.8455946076071257,0.7278976679429168,0.7645008591107347,0.8696131739118164,0.04218403683865917,0.9235588972431078,0.6156344221105527,0.6405712118063008,0.6273487183215208,0.932794741309752,0.2771462848660698,17
n3,4,0.8696741854636592,0.822157333055237,0.7615450466129199,0.7854417224227257,0.8910522948984487,0.051507579653853504,0.9022556390977443,0.6032608952124773,0.6265277195708245,0.6131188908666084,0.9062436678970968,0.296657611492117,17
n3,5,0.8671679197994987,0.8375299923655797,0.7329093799682035,0.7671516069093662,0.8941120027092879,0.04746518540672334,0.8972431077694235,0.5974353170011906,0.6215423650081376,0.6091415141322775,0.9073935062329057,0.34991538024785945,16
n2,1,0.868421052631579,0.8391130286595345,0.7358679598498603,0.7700098814229248,0.8845542374954138,0.05042427346708125,0.9598997493734336,0.8969883646474418,0.8265081177218384,0.8542676551034584,0.9896289323324634,0.12734267015142425,16
n2,2,0.8778195488721805,0.840864571873239,0.7688756455724781,0.7964731694716294,0.8770166790528781,0.04286829680961991,0.9711779448621554,0.9160574164838557,0.8693212053595492,0.8898070899398626,0.9927041675321527,0.1033350751430972,17
