Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
n4,1,0.8652882205513784,0.8143846822211825,0.7544355180101787,0.7779338150354481,0.894659974976717,0.0329684358968268,0.7587719298245614,0.7766839653890996,0.7814362308543302,0.7594559449934167,0.9503595332809931,0.9102317440247196,0.7274436090225563,0.5075469691066652,0.4951867108698788,0.48019070987910356,0.8442671499432852,0.5168311019088435,17
n4,2,0.87531328320802,0.8286923294571147,0.7759404897413946,0.797587781491879,0.8889827000686729,0.032913381371554085,0.7418546365914787,0.7716675508587136,0.7643751771697493,0.7475752568709804,0.9503884208328645,0.8128896877489898,0.843358395989975,0.5635635635635636,0.5813727527856996,0.5706793139347565,0.883376539446389,0.46576818822233834,16
n4,3,0.8609022556390977,0.8022369824062556,0.7559806586955908,0.7750428565986464,0.8734960160299527,0.0358772041148215,0.75,0.7921165963916061,0.7738589640994509,0.7546924816663503,0.9547536938979604,0.8042016523214154,0.8471177944862155,0.5658811686970885,0.5839878066370692,0.5732128369676458,0.8997616263877927,0.46424476062615405,16
n4,4,0.87531328320802,0.8238749046529367,0.7845951590295481,0.8015579008139397,0.8930066509252028,0.03350434317194062,0.7988721804511278,0.829559265467498,0.8232127829674671,0.8028112786491076,0.9695241920351508,0.7945837675129662,0.8483709273182958,0.5652179455311447,0.5857379903438923,0.5747516834185739,0.9127972576933238,0.4467715588488259,16
n4,5,0.8822055137844611,0.8461112406716418,0.7792306751582769,0.805569163536831,0.8972728384493089,0.025224651046627192,0.7174185463659147,0.7622923048361645,0.7566669302302873,0.7153296030223927,0.9456339527101785,0.8320600804045273,0.8383458646616542,0.5611829352197244,0.577627632232001,0.567093808241872,0.8886802833043049,0.4658557722098222,17
n3,1,0.8778195488721805,0.8345675687169528,0.7775303148606316,0.8006491297856027,0.8921223694979352,0.031820846584728925,0.8834586466165414,0.8889401494372681,0.898126548697584,0.8861955758652953,0.9875541704231365,0.47167590139543436,0.9104010025062657,0.6065879802481031,0.6294806576874633,0.6176204323869293,0.9472800352133014,0.2908824897279593,16
n3,2,0.8759398496240601,0.8329686780285583,0.7720106113771272,0.7962831643901671,0.8819601885212743,0.03197865612075318,0.9078947368421053,0.9102446641339131,0.9179123247816506,0.9092313469651239,0.9920391771812156,0.3845960084330431,0.9273182957393483,0.6174413607793692,0.642204413733888,0.6295623350316125,0.9362055806203832,0.2571621635010442,17
n3,3,0.8728070175438597,0.8374083511810777,0.7537958250627934,0.7841068790493955,0.8789263506458077,0.024843999030473258,0.9091478696741855,0.9086923793965973,0.9231095493264704,0.9099417917202535,0.9933082239368191,0.3322037222845321,0.9354636591478697,0.6236424394319131,0.6488263774604505,0.635425855140645,0.9560003556000858,0.21707259721747874,18
n3,4,0.8703007518796992,0.8191505952795377,0.7695153385198634,0.7899795746725939,0.87697434643136,0.034173060872427385,0.8884711779448622,0.8928771068839656,0.9061000871351944,0.890595156860806,0.9906916636457206,0.41939365142791,0.9204260651629073,0.612852887903953,0.6370225752119018,0.6246960371768654,0.9516122966211386,0.2595969758095605,17
n3,5,0.8847117794486216,0.8688382705849955,0.7645929953622261,0.8007598784194528,0.9038814310307524,0.033437638647526434,0.8590225563909775,0.878295166503901,0.8862715032697648,0.8637123562500378,0.9891444401086191,0.41028762407936237,0.9323308270676691,0.9543268431872457,0.6765347770184481,0.6915582662545523,0.9687278105317869,0.24297275592669285,16
