Model,Scale,Cluster,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,class_PerStain_0_Accuracy,class_PerStain_0_Precision,class_PerStain_0_Recall,class_PerStain_0_F1,class_PerStain_0_AUC,class_PerStain_0_Uncertainty,class_PerStain_0_Acc_class_0,class_PerStain_0_Acc_class_1,class_PerStain_1_Accuracy,class_PerStain_1_Precision,class_PerStain_1_Recall,class_PerStain_1_F1,class_PerStain_1_AUC,class_PerStain_1_Uncertainty,class_PerStain_1_Acc_class_0,class_PerStain_1_Acc_class_1,class_PerStain_2_Accuracy,class_PerStain_2_Precision,class_PerStain_2_Recall,class_PerStain_2_F1,class_PerStain_2_AUC,class_PerStain_2_Uncertainty,class_PerStain_2_Acc_class_0,class_PerStain_2_Acc_class_1,class_PerStain_3_Accuracy,class_PerStain_3_Precision,class_PerStain_3_Recall,class_PerStain_3_F1,class_PerStain_3_AUC,class_PerStain_3_Uncertainty,class_PerStain_3_Acc_class_0,class_PerStain_3_Acc_class_1,class_PerScanner_0_Accuracy,class_PerScanner_0_Precision,class_PerScanner_0_Recall,class_PerScanner_0_F1,class_PerScanner_0_AUC,class_PerScanner_0_Uncertainty,class_PerScanner_0_Acc_class_0,class_PerScanner_0_Acc_class_1,class_PerScanner_1_Accuracy,class_PerScanner_1_Precision,class_PerScanner_1_Recall,class_PerScanner_1_F1,class_PerScanner_1_AUC,class_PerScanner_1_Uncertainty,class_PerScanner_1_Acc_class_0,class_PerScanner_1_Acc_class_1,class_PerScanner_2_Accuracy,class_PerScanner_2_Precision,class_PerScanner_2_Recall,class_PerScanner_2_F1,class_PerScanner_2_AUC,class_PerScanner_2_Uncertainty,class_PerScanner_2_Acc_class_0,class_PerScanner_2_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,stain_Acc_class_3,num_epochs_trained
Resnet18,0.0,4,1,0.9207988980716253,0.8817215870098751,0.8770562434833562,0.8793586893460963,0.9351423392992041,0.06257220917086374,0.9521322889469104,0.801980198019802,0.9215686274509803,0.8713123793768955,0.8937865497076023,0.8818439716312056,0.9492690058479533,0.06508327385164465,0.9403508771929825,0.8472222222222222,0.9363636363636364,0.9223065570314147,0.8616393837265286,0.8878840335862549,0.9250120365912374,0.04220997200158926,0.9813432835820896,0.7419354838709677,0.9193548387096774,0.8830455259026688,0.876027397260274,0.8794660215146671,0.9204623287671232,0.06426936763832952,0.952054794520548,0.8,0.9083969465648855,0.8674587002401573,0.8732443820224719,0.8702970297029703,0.9464444115907746,0.07578275681698214,0.9375,0.8089887640449438,0.9312424607961399,0.9004392025266482,0.8754835545190368,0.8872019994414169,0.9380494937716327,0.05237470292578298,0.967016491754123,0.7839506172839507,0.9016100178890877,0.862565922584497,0.878143702217456,0.869892723387148,0.933389836371813,0.08198385050546388,0.9241706161137441,0.8321167883211679,0.953125,0.8169398907103824,0.7416666666666667,0.7733175914994097,0.7708333333333333,0.025113227469777538,0.9833333333333333,0.5,0.21556473829201103,0.22038776055977777,0.23193391043149145,0.1373441904032276,0.4660565112631554,1.3093759914663676,0.0028011204481792717,0.7878787878787878,0.08870967741935484,0.04834605597964377,13
Resnet18,0.0,4,2,0.9118457300275482,0.8744144689198727,0.8519590862480504,0.862471918094071,0.9288202971733205,0.06914355720266312,0.9547432550043516,0.7491749174917491,0.9131652661064426,0.871950591868245,0.8521929824561403,0.8615326868939631,0.9373781676413255,0.07552675102236053,0.9543859649122807,0.75,0.906060606060606,0.8643263757115749,0.8119884448724122,0.8344954781511382,0.8825830524795377,0.061257532603125595,0.9626865671641791,0.6612903225806451,0.9059139784946236,0.8578605077750449,0.8674657534246575,0.8625175548821051,0.9420804794520549,0.06569477320173339,0.934931506849315,0.8,0.9211195928753181,0.9025641025641026,0.8655751034890597,0.8821452410203825,0.9490685984624482,0.07323143397762816,0.9671052631578947,0.7640449438202247,0.9240048250904704,0.8968981336669795,0.852291446869158,0.8721358674230091,0.9291002646824735,0.06384220481314434,0.9700149925037481,0.7345679012345679,0.8944543828264758,0.857921360033375,0.8561507593316497,0.8570301493378416,0.9263500190265334,0.08151539443666123,0.9312796208530806,0.781021897810219,0.90625,0.6,0.6,0.6,0.9208333333333333,0.02975237153244622,0.95,0.25,0.2548209366391185,0.3286829344373866,0.2575195859275411,0.2187865695030066,0.5012494408160509,1.3008987227668716,0.10644257703081232,0.47575757575757577,0.04838709677419355,0.3994910941475827,11
Resnet18,0.0,4,3,0.9146005509641874,0.887574558152932,0.8439796982309197,0.8632066153878882,0.9406112935053296,0.0705888954058108,0.9651871192341166,0.7227722772277227,0.9187675070028011,0.8845626975763963,0.8557017543859649,0.8690306012726283,0.9452729044834308,0.07708564051687619,0.9614035087719298,0.75,0.9212121212121213,0.8960714285714286,0.8337144920558498,0.8602059436913452,0.9419234472797302,0.06146805478298737,0.9738805970149254,0.6935483870967742,0.9166666666666666,0.883030303030303,0.8652397260273973,0.8736842105263158,0.930265410958904,0.059899096327703544,0.9554794520547946,0.775,0.9033078880407125,0.8900295222758992,0.8222760201064458,0.8494920583729744,0.9432288586635127,0.08246458155832301,0.9703947368421053,0.6741573033707865,0.9240048250904704,0.9009125840537944,0.8476178577377977,0.8707946474294748,0.9499324411868141,0.06629982467061513,0.9730134932533733,0.7222222222222222,0.8962432915921288,0.8692847020213321,0.8425467879752309,0.8546620046620046,0.9267305496938457,0.08195637999832825,0.9478672985781991,0.7372262773722628,0.953125,0.9761904761904762,0.625,0.6878048780487804,0.8833333333333334,0.02685789153487283,1.0,0.25,0.13980716253443526,0.2473803085820941,0.13899053801189612,0.12774474945470918,0.43591785203134786,1.3173322302804134,0.0196078431372549,0.14242424242424243,0.2768817204301075,0.11704834605597965,15
Resnet18,0.0,4,4,0.9166666666666666,0.8877474039229608,0.8513602012942809,0.8677630464807338,0.9407721450996275,0.058597867537432465,0.9634464751958225,0.7392739273927392,0.927170868347339,0.8931660899653979,0.8765350877192982,0.8844947735191637,0.9600877192982457,0.05820193746473063,0.9614035087719298,0.7916666666666666,0.9181818181818182,0.8929842399593289,0.8256499759268174,0.8537882144439521,0.9184520943668754,0.051064964432089924,0.9738805970149254,0.6774193548387096,0.9139784946236559,0.8802829675312898,0.8589897260273973,0.8689852520360994,0.946318493150685,0.05599015690901682,0.9554794520547946,0.7625,0.9083969465648855,0.8873584905660378,0.8414584565345948,0.8613049956866128,0.9378326434062685,0.06775123500432362,0.9638157894736842,0.7191011235955056,0.9312424607961399,0.9141850784502081,0.8591259925592759,0.8830999191028581,0.9419919669794733,0.04713978077789862,0.9775112443778111,0.7407407407407407,0.889087656529517,0.8546511627906976,0.8402722523956134,0.8470736700907198,0.9344622409796934,0.07937697597535821,0.9360189573459715,0.7445255474452555,0.96875,0.9838709677419355,0.75,0.825136612021858,0.9166666666666666,0.02552337233201176,1.0,0.5,0.2630853994490358,0.21214813083715744,0.2610153492571616,0.22056458804905035,0.5639716787169482,1.2833299344363052,0.0,0.26666666666666666,0.5483870967741935,0.22900763358778625,17
Resnet18,0.0,4,5,0.9146005509641874,0.8866112703513902,0.8451947022378479,0.8635751954900891,0.93563638348169,0.058756769630316,0.9643167972149695,0.7260726072607261,0.9103641456582633,0.865916955017301,0.850438596491228,0.8578397212543554,0.9489278752436647,0.06050653340083245,0.9508771929824561,0.75,0.9181818181818182,0.9058479532163742,0.8132522869523351,0.8494194791367393,0.9051516610495908,0.04771850956752969,0.9813432835820896,0.6451612903225806,0.9220430107526881,0.8945571997984147,0.8686643835616439,0.8806940711986995,0.9351883561643834,0.05454550546311042,0.9623287671232876,0.775,0.9083969465648855,0.8873584905660378,0.8414584565345948,0.8613049956866128,0.9476271437019516,0.07042229233984676,0.9638157894736842,0.7191011235955056,0.9240048250904704,0.9052636759334194,0.8429442686064376,0.8694145444998688,0.9393358876117497,0.05103708676428306,0.9760119940029985,0.7098765432098766,0.8962432915921288,0.8661599591717701,0.8474763898017781,0.8561936697182599,0.9321444632787905,0.07098746828873523,0.943127962085308,0.7518248175182481,0.953125,0.8169398907103824,0.7416666666666667,0.7733175914994097,0.8375,0.05192327815976854,0.9833333333333333,0.5,0.25068870523415976,0.13704827136333986,0.25176764254088735,0.16399101821539497,0.4831909483140126,1.2171577478188083,0.7086834733893558,0.0,0.29838709677419356,0.0,13
Resnet18,-0.01,4,1,0.9111570247933884,0.872204037097654,0.852738929245405,0.8619298769363453,0.9355186171358649,0.05559550805382692,0.9530026109660574,0.7524752475247525,0.927170868347339,0.8842039919778436,0.8921052631578947,0.888071580165927,0.9470760233918128,0.05808149577592937,0.9508771929824561,0.8333333333333334,0.9151515151515152,0.8747987117552335,0.8361819932595089,0.8535750507099391,0.9185122773230622,0.0464615649997566,0.9626865671641791,0.7096774193548387,0.9059139784946236,0.8663299663299664,0.8493150684931507,0.8573853989813243,0.9385702054794521,0.05515394954110255,0.9486301369863014,0.75,0.8982188295165394,0.8652543739417883,0.8348795091661738,0.8485899214054553,0.9379435245416913,0.06142493135608161,0.9506578947368421,0.7191011235955056,0.9227985524728589,0.8956983158203822,0.8492050271160716,0.8697692685321551,0.9320524922723824,0.04830409302386909,0.9700149925037481,0.7283950617283951,0.889087656529517,0.8482897281889443,0.8550610578752551,0.8515844467283317,0.9393572491092123,0.06678231236199536,0.9218009478672986,0.7883211678832117,0.953125,0.8169398907103824,0.7416666666666667,0.7733175914994097,0.8458333333333333,0.052332374484590743,0.9833333333333333,0.5,0.23071625344352617,0.23014167996014329,0.2341190881895504,0.22870960301016904,0.4765902670811358,1.384549364006192,0.2801120448179272,0.30606060606060603,0.17473118279569894,0.17557251908396945,15
Resnet18,-0.01,4,2,0.9097796143250688,0.864832563711863,0.8603736352747546,0.8625738113420749,0.937517772664995,0.06376856890428008,0.9451697127937336,0.7755775577557755,0.9103641456582633,0.8549076371657016,0.8763888888888889,0.8649645390070921,0.9474658869395711,0.06781773511050501,0.9333333333333333,0.8194444444444444,0.9121212121212121,0.8713643484776241,0.8281174771304767,0.8473075388911049,0.9240491092922485,0.048432632404192634,0.9626865671641791,0.6935483870967742,0.9139784946236559,0.8726027397260274,0.8726027397260274,0.8726027397260274,0.9435359589041096,0.07135774233147536,0.9452054794520548,0.8,0.9033078880407125,0.8638719855758396,0.8580351862803075,0.860897913561848,0.9371303962152573,0.06578417754165902,0.9407894736842105,0.7752808988764045,0.9191797346200241,0.8830913490623109,0.8516297406852129,0.8660830317511217,0.9357728543135839,0.050739347018813136,0.9625187406296851,0.7407407407407407,0.8926654740608229,0.8492971691988054,0.8722195316013422,0.8596887550200802,0.9391669837755562,0.08522367366768817,0.9123222748815166,0.8321167883211679,0.9375,0.7258064516129032,0.6166666666666667,0.6502732240437158,0.8708333333333333,0.045140777971576763,0.9833333333333333,0.25,0.256198347107438,0.25695054554042746,0.2567792573365672,0.2556652485443534,0.514891187185603,1.3843652804301538,0.30532212885154064,0.2545454545454545,0.22043010752688172,0.24681933842239187,14
Resnet18,-0.01,4,3,0.9111570247933884,0.8768471517202481,0.8454489052038363,0.8597640273032943,0.9370811754804724,0.07536398975151043,0.95822454308094,0.7326732673267327,0.896358543417367,0.8381728728535597,0.8416666666666667,0.8399006120841161,0.9372319688109162,0.08632555444666247,0.9333333333333333,0.75,0.9151515151515152,0.8792888765910348,0.8299831487722678,0.8515519568151146,0.9216417910447761,0.05766183993563774,0.9664179104477612,0.6935483870967742,0.9193548387096774,0.8919444444444444,0.8624143835616438,0.8759779516358464,0.9325342465753425,0.08095303226389959,0.9623287671232876,0.7625,0.9134860050890585,0.8992936643835616,0.8447479302188055,0.867818138651472,0.9568672383205203,0.07498054707583598,0.9703947368421053,0.7191011235955056,0.9240048250904704,0.8897749715722066,0.8616386251318785,0.8747076223308168,0.9390489940215077,0.06764559379485525,0.9640179910044977,0.7592592592592593,0.8855098389982111,0.8551643458243707,0.8255785795828,0.8387596899224806,0.9293942643650327,0.09188374113934707,0.943127962085308,0.708029197080292,0.96875,0.9838709677419355,0.75,0.825136612021858,0.9708333333333333,0.031051633849423915,1.0,0.5,0.2493112947658402,0.25057647883837486,0.2513790561332097,0.24967642857201,0.5221691321348405,1.382944832513177,0.27170868347338933,0.2878787878787879,0.25,0.19592875318066158,15
Resnet18,-0.01,4,4,0.9180440771349863,0.8809421534936999,0.8668105713965653,0.8735990133015553,0.9362884069085758,0.06449189566959855,0.9547432550043516,0.7788778877887789,0.9299719887955182,0.8927656850192062,0.8886695906432749,0.8906959940234896,0.9570175438596491,0.06489445255343364,0.9578947368421052,0.8194444444444444,0.9151515151515152,0.8842857142857143,0.8237843042850265,0.8494525547445255,0.9162253249879634,0.05699925895671143,0.9701492537313433,0.6774193548387096,0.9193548387096774,0.8762400793650794,0.8896404109589041,0.8826745164003365,0.945804794520548,0.06620443817688901,0.9417808219178082,0.8375,0.9083969465648855,0.8757675864749319,0.8573514192785334,0.8660328762972502,0.9294795978710821,0.06879670863400457,0.9506578947368421,0.7640449438202247,0.9300361881785284,0.9047143120733132,0.8653867510689099,0.8831872424784265,0.9363929146537842,0.05538249747019636,0.9715142428785607,0.7592592592592593,0.8944543828264758,0.8540913654618474,0.8660099629847442,0.8597728712526096,0.9314352924897085,0.08177094720859826,0.9218009478672986,0.8102189781021898,0.96875,0.9838709677419355,0.75,0.825136612021858,0.925,0.03156535343527938,1.0,0.5,0.26515151515151514,0.26467478724782434,0.2644107711361503,0.2644011382088496,0.509229915781724,1.3838862130351064,0.2661064425770308,0.24848484848484848,0.25806451612903225,0.28498727735368956,12
Resnet18,-0.01,4,5,0.9166666666666666,0.8915994702193136,0.8465001852665685,0.8663352665009666,0.9290788086641563,0.06028072118534669,0.9669277632724108,0.7260726072607261,0.9215686274509803,0.884083044982699,0.8678362573099415,0.875609756097561,0.9454191033138402,0.065321439377842,0.9578947368421052,0.7777777777777778,0.9090909090909091,0.8970734126984127,0.7890587385652383,0.8287908135030437,0.9090635532017333,0.05360771688055886,0.9813432835820896,0.5967741935483871,0.9274193548387096,0.9067193860839455,0.8720890410958904,0.8878304278391387,0.9335616438356164,0.0511868717481078,0.9691780821917808,0.775,0.9083969465648855,0.8841032385336183,0.8454316972205795,0.8625340069957248,0.929331756357185,0.06991295277952492,0.9605263157894737,0.7303370786516854,0.9300361881785284,0.910873440285205,0.8583763673718696,0.8813610343466245,0.9320432376404391,0.05547101760216348,0.9760119940029985,0.7407407407407407,0.8908765652951699,0.863914198936978,0.8315978828657419,0.8458990315306154,0.9214031203514721,0.07057169707694892,0.9478672985781991,0.7153284671532847,0.96875,0.9838709677419355,0.75,0.825136612021858,0.9083333333333334,0.03269617035805361,1.0,0.5,0.26377410468319556,0.2609744698293176,0.26396837708018667,0.2608201905778256,0.5080638362638021,1.383391557848862,0.2549019607843137,0.30606060606060603,0.16666666666666666,0.3282442748091603,17
