LossFunction,Fold,MC_Iteration,Accuracy,Precision,Recall,F1,AUC,Uncertainty
CrossEntropyLoss,1,1,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,2,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,3,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,4,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,5,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,6,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,7,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,8,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,9,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,10,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,11,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,12,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,13,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,14,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,15,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,16,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,17,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,18,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,19,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,20,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,21,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,22,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,23,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,24,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,25,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,26,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,27,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,28,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,29,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,30,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,31,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,32,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,33,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,34,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,35,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,36,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,37,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,38,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,39,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
CrossEntropyLoss,1,40,0.837465564738292,0.7444530808366309,0.7074811980472357,0.7227456171295232,0.8470834482841344,0.28179607562566894
