ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var
224,none,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Resnet18,0.8307162534435262,0.016703054329093487,0.0002789920239206487,0.7339595577608007,0.030784752397500427,0.0009477009801754084,0.6969455073228659,0.01308063044277557,0.000171102892780467,0.7116984117501286,0.019253467498010032,0.00037069601069692875,0.8232853338771007,0.028517671100540227,0.0008132575649985872,0.2410751408692886,0.06977289429638411,0.004868256778494391
224,none,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Resnet34,0.8384297520661157,0.010210505125755777,0.000104254414923085,0.7477239000407734,0.019578675627492804,0.00038332453932658073,0.7054426705370102,0.014148067411693643,0.00020016781148582765,0.7220589286751443,0.01459574690683467,0.00021303582776837382,0.8305581211241588,0.014711700548707955,0.00021643413303485393,0.2303179698448885,0.103319479574606,0.010674914859567425
224,none,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Resnet50,0.834022038567493,0.010669375609386827,0.00011383557589417852,0.7418051519804105,0.02299992906427498,0.0005289967369616809,0.6797400712495052,0.0237342532926278,0.0005633147793586135,0.7008398651695609,0.02278610453794286,0.0005192065600140601,0.8201657690508461,0.025424765581516497,0.0006464187048750659,0.30197151754668017,0.043047129180730594,0.0018530553307025074
224,none,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Resnet101,0.8319559228650139,0.009097689265580517,8.276794997305896e-05,0.7358714574401055,0.018905480589871602,0.0003574171963340119,0.6900646523288032,0.02874148508200044,0.0008260729647188538,0.7064653743830521,0.023661760643889734,0.0005598789167687291,0.8232184624980509,0.02543764229691513,0.0006470736456258057,0.28502962226567063,0.02033486622639038,0.00041350678444519213
224,none,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Resnet152,0.8294765840220386,0.011301902603157528,0.00012773300245125891,0.7330947803811145,0.02461470261761286,0.0006058835849535174,0.662923868584246,0.03136524998056949,0.0009837789063436146,0.6843728080521495,0.031228306655983702,0.0009752071366001561,0.814920414062781,0.027406422281127787,0.0007511119822514976,0.3329943780472381,0.05403204848798777,0.002919462263808261
224,none,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Densenet121,0.8534435261707987,0.007311312411619938,5.345528918030776e-05,0.7807397132690936,0.016098203085728173,0.00025915214258934806,0.7176936271275893,0.027437717356591666,0.0007528283337402117,0.7400062763227188,0.02217763009183599,0.0004918472764903092,0.8694658686082357,0.012155329435821599,0.00014775203369335102,0.2931995448105118,0.033173990364020904,0.0011005136366721519
224,none,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Densenet169,0.8472451790633609,0.013116173758763503,0.00017203401407007635,0.7665088597387093,0.024358932871284062,0.0005933576106277232,0.7069732154637814,0.0333251503083133,0.001110565643071674,0.7284507549820727,0.03196241321856043,0.0010215958587540064,0.8693249289304179,0.021630537761959726,0.0004678801638715657,0.2977193305724227,0.041622010732287086,0.0017323917773986214
224,none,reduce_on_plateau,None,Adam,0.01,ReverseCrossEntropyLoss,Resnet18,0.5606060606060606,0.3319530651546461,0.11019283746556474,0.2803030303030303,0.16597653257732306,0.027548209366391185,0.5,0.0,0.0,0.33304967556642906,0.15381209996953926,0.023658162097039543,0.4913175161031079,0.02292824415323017,0.0005257043799501334,1.9768831172509362e-15,3.7288893609907516e-15,1.3904615866510018e-29
224,none,reduce_on_plateau,None,Adam,0.01,ReverseCrossEntropyLoss,Resnet34,0.3181818181818182,0.27103854272724726,0.07346189164370982,0.1590909090909091,0.13551927136362363,0.018365472910927456,0.5,0.0,0.0,0.220721199872354,0.1255870537304424,0.01577210806469303,0.49909738631865563,0.0020183055489073867,4.073557288750347e-06,2.1633788454010138e-11,4.8274906421533076e-11,2.3304665900077754e-21
224,none,reduce_on_plateau,None,Adam,0.01,ReverseCrossEntropyLoss,Resnet50,0.5606060606060606,0.3319530651546461,0.11019283746556474,0.2803030303030303,0.16597653257732306,0.027548209366391185,0.5,0.0,0.0,0.33304967556642906,0.15381209996953926,0.023658162097039543,0.5050993174921133,0.030570748948788605,0.0009345706912898597,5.827340759014076e-27,9.020658040785645e-27,8.1372271488790705e-53
